question,reference,prediction,contexts,rag_used,rag_similarity_pct,rag_relative_pct,rag_raw_contexts,rouge1,rouge2,rougeL,bleu
What are the genetic changes related to Coffin-Lowry syndrome ?,"Mutations in the RPS6KA3 gene cause Coffin-Lowry syndrome. This gene provides instructions for making a protein that is involved in signaling within cells. Researchers believe that this protein helps control the activity of other genes and plays an important role in the brain. The protein is involved in cell signaling pathways that are required for learning, the formation of long-term memories, and the survival of nerve cells. Gene mutations result in the production of little or no RPS6KA3 protein, but it is unclear how a lack of this protein causes the signs and symptoms of Coffin-Lowry syndrome. Some people with the features of Coffin-Lowry syndrome do not have identified mutations in the RPS6KA3 gene. In these cases, the cause of the condition is unknown.",The genetic cause of Coffin-Lowry syndrome is unknown. It has been suggested that mutations in the FGF1 gene can lead to Coffin-Lowry syndrome.,"[""each administration. The amount received over a 24-hour\n\nperiod may be referred to as the “daily dose.”\n\nDown Syndrome A common genetic disorder in which a child is born with"", ""Analyze the occurrences to determine what changes are needed, if any, to policies and procedures to prevent further occurrences.\n\n_______________________________________________________________________"", ""Was the care plan consistently implemented? What changes are made to treatment if the resident failed to progress or when initial rehabilitation goals\n\nwere achieved, but additional progress seemed possible?""]",True,"[null, null, null]","[100.0, 91.83965660974043, 81.1534975516679]","[""each administration. The amount received over a 24-hour\n\nperiod may be referred to as the “daily dose.”\n\nDown Syndrome A common genetic disorder in which a child is born with"", ""Analyze the occurrences to determine what changes are needed, if any, to policies and procedures to prevent further occurrences.\n\n_______________________________________________________________________"", ""Was the care plan consistently implemented? What changes are made to treatment if the resident failed to progress or when initial rehabilitation goals\n\nwere achieved, but additional progress seemed possible?""]",0.2222,0.1192,0.1699,0.0
Why should blood pressure be measured at the same time each day?,To ensure consistent and accurate comparisons over time.,To ensure consistency between measurements and avoid errors.,"[""Hypertension (or high blood pressure - HBP) is defined as elevated blood pressure (BP) at rest that persists over time\n\ni.e. measured 3 times during 3 separate consultations over a period of three months.\n\nEssential hypertension is defined as HBP of undetermined cause (the large majority of cases).\n\nThe global overall prevalence of HBP in adults aged 25 and over is around 40%. [1]"", ""in the development of ■stretching■ and narrowing of dermal capillary does pressure alone20. At sufficiently high levels\n\npressure ulcers. beds – when sufficiently high shear stresses are of shear stresses, only half as much pressure is\n\n●Although● shear stresses applied, the internal diameter of the capillaries required to produce blood vessel occlusion as\n\ncan be measured on becomes inadequate for blood flow19,20 when little shear stress is present23. Conversely, the skin surface and"", ""(a) MUAC is measured at the mid-point of the left upper arm. The arm should be relaxed. The measuring tape should be in contact with the skin all around the arm, without exerting pressure.\n\n(b) For WHZ, see WHO simplified field tables in z-scores for girls and for boys:""]",True,"[null, null, null]","[100.0, 91.51012850960205, 90.89459741138722]","[""Hypertension (or high blood pressure - HBP) is defined as elevated blood pressure (BP) at rest that persists over time\n\ni.e. measured 3 times during 3 separate consultations over a period of three months.\n\nEssential hypertension is defined as HBP of undetermined cause (the large majority of cases).\n\nThe global overall prevalence of HBP in adults aged 25 and over is around 40%. [1]"", ""in the development of ■stretching■ and narrowing of dermal capillary does pressure alone20. At sufficiently high levels\n\npressure ulcers. beds – when sufficiently high shear stresses are of shear stresses, only half as much pressure is\n\n●Although● shear stresses applied, the internal diameter of the capillaries required to produce blood vessel occlusion as\n\ncan be measured on becomes inadequate for blood flow19,20 when little shear stress is present23. Conversely, the skin surface and"", ""(a) MUAC is measured at the mid-point of the left upper arm. The arm should be relaxed. The measuring tape should be in contact with the skin all around the arm, without exerting pressure.\n\n(b) For WHZ, see WHO simplified field tables in z-scores for girls and for boys:""]",0.5,0.2857,0.5,0.0
What is a passive motion machine used for?,"To continuously flex and extend a joint, such as after knee replacement surgery.",A passive motion machine is used to help patients move their limbs without requiring assistance from caregivers.,"[""darkened).\n\nPain Medication Pharmacological agent(s) prescribed to relieve or prevent Regimen the recurrence of pain. Include all medications used for\n\npain management by any route and any frequency during the look-back period.\n\nPassive Range of PROM Movement within the unrestricted range of motion for a Motion segment, which is provided entirely by an external force.\n\nThere is no voluntary muscle contraction. This type of range of motion is often used when a resident is not able"", ""- For both active and passive range of motion: movement by a resident that is incidental to dressing, bathing, etc., does not count as part of a formal restorative nursing program. For inclusion in this section, active or passive range of motion must be a component of an individualized program that is planned, monitored evaluated, and documented in the resident’s medical record. Range of motion should be delivered by staff who are trained in the procedures."", ""- For range of motion (passive): the caregiver moves the body part around a fixed point or joint through the resident’s available range of motion. The resident provides no assistance.\n\n- For range of motion (active): any participation by the resident in the ROM activity should be coded here.""]",True,"[null, null, null]","[100.0, 95.73930836589157, 88.50560184105902]","[""darkened).\n\nPain Medication Pharmacological agent(s) prescribed to relieve or prevent Regimen the recurrence of pain. Include all medications used for\n\npain management by any route and any frequency during the look-back period.\n\nPassive Range of PROM Movement within the unrestricted range of motion for a Motion segment, which is provided entirely by an external force.\n\nThere is no voluntary muscle contraction. This type of range of motion is often used when a resident is not able"", ""- For both active and passive range of motion: movement by a resident that is incidental to dressing, bathing, etc., does not count as part of a formal restorative nursing program. For inclusion in this section, active or passive range of motion must be a component of an individualized program that is planned, monitored evaluated, and documented in the resident’s medical record. Range of motion should be delivered by staff who are trained in the procedures."", ""- For range of motion (passive): the caregiver moves the body part around a fixed point or joint through the resident’s available range of motion. The resident provides no assistance.\n\n- For range of motion (active): any participation by the resident in the ROM activity should be coded here.""]",0.1333,0.0,0.0667,0.0
What is an example of a standing order?,An example is administering chewable aspirin to patients reporting chest pain in an urgent care setting.,An example of a standing order might be a new order for a patient who has been on a new medication for two weeks.,"[""For example, the surveyor observed that a resident had received Lasix 20 mg, but the order was for 40 mg. This was an apparent error in dosage. But the nurse\n\nshowed the surveyor another more recent order which discontinued the 40 mg order and replaced it with a 20 mg order."", ""- For unplanned discharges, the facility should complete the OBRA Discharge assessment to the best of its abilities. — An unplanned discharge includes, for example: ○ Acute-care transfer of the resident to a hospital or an emergency department in order to either stabilize a condition or determine if an acute-care admission is"", ""The MDS records for a nursing home resident are expected to occur in a specific order. For example, the first record for a resident is expected to be an Entry record with entry type (item\n\nA1700) indicating admission, and the next record is expected to be an Admission assessment, a""]",True,"[null, null, null]","[100.0, 98.40404881618257, 96.2752676656401]","[""For example, the surveyor observed that a resident had received Lasix 20 mg, but the order was for 40 mg. This was an apparent error in dosage. But the nurse\n\nshowed the surveyor another more recent order which discontinued the 40 mg order and replaced it with a 20 mg order."", ""- For unplanned discharges, the facility should complete the OBRA Discharge assessment to the best of its abilities. — An unplanned discharge includes, for example: ○ Acute-care transfer of the resident to a hospital or an emergency department in order to either stabilize a condition or determine if an acute-care admission is"", ""The MDS records for a nursing home resident are expected to occur in a specific order. For example, the first record for a resident is expected to be an Entry record with entry type (item\n\nA1700) indicating admission, and the next record is expected to be an Admission assessment, a""]",0.15,0.0526,0.15,0.0
Is spinal and bulbar muscular atrophy inherited ?,"This condition is inherited in an X-linked pattern. A condition is considered X-linked if the mutated gene that causes the disorder is located on the X chromosome, one of the two sex chromosomes. In males (who have only one X chromosome), a mutation in the only copy of the gene in each cell causes the disorder. In most cases, males experience more severe symptoms of the disorder than females (who have two X chromosomes). Females with a mutation in one copy of the AR gene in each cell are typically unaffected. A few females with mutations in both copies of the gene have had mild features related to the condition, including muscle cramps and occasional tremors. Researchers believe that the milder signs and symptoms in females may be related to lower androgen levels. A characteristic of X-linked inheritance is that fathers cannot pass X-linked traits to their sons.",The inheritance pattern of spinal and bulbar muscular atrophy is unknown.,"[""Conjunctival xerosis: bulbar conjunctiva appears dry, dull, thick, wrinkled and insensitive Bitot’s spots: greyish foamy patches on the bulbar conjunctiva, usually in both eyes (specific sign, however not"", ""Retinoblastoma Age usually below Skull x-ray Refer to ophthal-\n\n3 years Inherited Urine catecholamines mologist and oncologist"", ""Paralytic poliomyelitis: Occurs in 0.5% of infections. The symptoms are similar PAEDIATRICS to those of non-paralytic polio with additional weakness and pain of one or\n\nmore muscle groups. Flaccid paralysis may involve one or more limbs as well as respiratory muscles. Transient bladder paralysis and bowel atony are\n\ncommon. Paralysis may be precipitated by IM injection.\n\nAfter the acute phase muscular atrophy ensues due to denervation. There is no sensory loss.""]",True,"[null, null, null]","[100.0, 96.7500294867613, 89.37125778744421]","[""Conjunctival xerosis: bulbar conjunctiva appears dry, dull, thick, wrinkled and insensitive Bitot’s spots: greyish foamy patches on the bulbar conjunctiva, usually in both eyes (specific sign, however not"", ""Retinoblastoma Age usually below Skull x-ray Refer to ophthal-\n\n3 years Inherited Urine catecholamines mologist and oncologist"", ""Paralytic poliomyelitis: Occurs in 0.5% of infections. The symptoms are similar PAEDIATRICS to those of non-paralytic polio with additional weakness and pain of one or\n\nmore muscle groups. Flaccid paralysis may involve one or more limbs as well as respiratory muscles. Transient bladder paralysis and bowel atony are\n\ncommon. Paralysis may be precipitated by IM injection.\n\nAfter the acute phase muscular atrophy ensues due to denervation. There is no sensory loss.""]",0.0736,0.0,0.0613,0.0
What are the symptoms of N syndrome ?,"What are the signs and symptoms of N syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for N syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of chromosome stability 90% Acute leukemia 90% Cognitive impairment 90% Cryptorchidism 90% Displacement of the external urethral meatus 90% Hypertonia 90% Megalocornea 90% Sensorineural hearing impairment 90% Visual impairment 90% Hearing impairment - Hypospadias - Intellectual disability - Neoplasm - Spasticity - X-linked inheritance - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","The symptoms of NMS include:

- Confusion

- Motor restlessness

- Tremors

- Dizziness

- Seizures

- Hallucinations

- Disorientation

- Cognitive impairment

- Memory loss

- Depression

- Anxiety

- Irritability

- Sleep disturbances

- Hyperthermia

- Hypotension

- Diarrhea

- Constipation

- Urinary tract infection

- Urinary retention

- Urinary frequency

- Urinary incontinence

- Urinary retention

- Urinary incontinence

- Urinary incontinence

- Urinary incontinence

- Urinary incontinence

- Urinary incontinence

- Urinary incontinence

- Urinary incontinence

- Urinary incontinence

- Urinary incontinence

- Urinary incontinence

- Urinary incontinence

- Urinary incontinence

- Urinary incontinence

- Urinary incontinence

- Urinary incontinence

- Urinary incontinence

- Urinary incontinence

- Urinary incontinence

- Urinary incontinence

- Urinary incontinence

- Urinary incontinence

- Urinary incontinence

- Urinary incontinence

- Urinary incontinence

- Urinary incontinence

- Urinary incontinence

- Urinary incontinence

- Urinary","[""consequence related to anticoagulation.\n\nFailure to recognize developing serotonin syndrome (e.g., confusion, motor restlessness, tremor) in a resident receiving a SSRI, leading to the addition of medications with\n\nadditive serotonin effect or medication to suppress the symptoms.\n\nFailure to recognize and respond to signs and symptoms of neuroleptic malignant syndrome (NMS)."", ""1. What are the medical symptoms that led to the consideration of the use of restraints?\n\n2. Are these symptoms caused by failure to:\n\na. Meet individual needs in accordance with the resident assessments?\n\nb. Use rehabilitative/restorative care?\n\nc. Provide meaningful activities?\n\nd. Manipulate the resident‘s environment, including seating?\n\n3. Can the cause(s) of the medical symptoms be eliminated or reduced?"", ""Use haloperidol (see Acute confusional state).\n\nAlcoholic patients can experience withdrawal symptoms within 6 to 24 hours after they stop drinking. Withdrawal\n\nsyndrome should be taken into consideration in patients who are hospitalised and therefore forced to stop drinking\n\nabruptly. In the early phase (pre-delirium tremens), the symptoms include irritability, a general feeling of malaise, profuse""]",True,"[null, null, null]","[100.0, 94.31266139552895, 88.84325370742816]","[""consequence related to anticoagulation.\n\nFailure to recognize developing serotonin syndrome (e.g., confusion, motor restlessness, tremor) in a resident receiving a SSRI, leading to the addition of medications with\n\nadditive serotonin effect or medication to suppress the symptoms.\n\nFailure to recognize and respond to signs and symptoms of neuroleptic malignant syndrome (NMS)."", ""1. What are the medical symptoms that led to the consideration of the use of restraints?\n\n2. Are these symptoms caused by failure to:\n\na. Meet individual needs in accordance with the resident assessments?\n\nb. Use rehabilitative/restorative care?\n\nc. Provide meaningful activities?\n\nd. Manipulate the resident‘s environment, including seating?\n\n3. Can the cause(s) of the medical symptoms be eliminated or reduced?"", ""Use haloperidol (see Acute confusional state).\n\nAlcoholic patients can experience withdrawal symptoms within 6 to 24 hours after they stop drinking. Withdrawal\n\nsyndrome should be taken into consideration in patients who are hospitalised and therefore forced to stop drinking\n\nabruptly. In the early phase (pre-delirium tremens), the symptoms include irritability, a general feeling of malaise, profuse""]",0.0392,0.0169,0.0392,0.0
What role does digoxin play in the treatment of heart failure?,It helps improve symptoms but does not reduce mortality.,Digoxin is used to treat heart failure by slowing the heartbeat rate and increasing cardiac output.,"[""- The wound may start with some kind of minor trauma, such as hitting the leg on a wheelchair. The wound does not typically occur over a bony prominence, and pressure forces play virtually no role in the development of the ulcer."", ""1. Ponikowski P et al. 2016 ESC Guidelines for the diagnosis and treatment of acute and chronic heart failure: The Task Force for the diagnosis and treatment of acute and chronic heart failure of the European Society of Cardiology (ESC). Developed with the special contribution of the Heart Failure Association (HFA) of the ESC. Eur J Heart Fail. 2016;18(8):891-975."", ""Specific information about how the resident prefers to participate in activities of interest (for example, if music is an interest, what kinds of music; does the\n\nresident play an instrument; does the resident have access to music to which she/he likes to listen; and can the resident participate independently, such as""]",True,"[null, null, null]","[100.0, 97.2787780850827, 88.88876459193318]","[""- The wound may start with some kind of minor trauma, such as hitting the leg on a wheelchair. The wound does not typically occur over a bony prominence, and pressure forces play virtually no role in the development of the ulcer."", ""1. Ponikowski P et al. 2016 ESC Guidelines for the diagnosis and treatment of acute and chronic heart failure: The Task Force for the diagnosis and treatment of acute and chronic heart failure of the European Society of Cardiology (ESC). Developed with the special contribution of the Heart Failure Association (HFA) of the ESC. Eur J Heart Fail. 2016;18(8):891-975."", ""Specific information about how the resident prefers to participate in activities of interest (for example, if music is an interest, what kinds of music; does the\n\nresident play an instrument; does the resident have access to music to which she/he likes to listen; and can the resident participate independently, such as""]",0.0,0.0,0.0,0.0
What are palpitations?,"Palpitations are sensations of a racing, fluttering, or irregular heartbeat.","Palpitations are feelings of pounding or racing hearts. Palpitations can occur when your heart beats too fast or too slow, or when you feel your heart beating irregularly. Palpitations can also occur if your heart isn’t pumping enough blood to your organs or tissues. Palpitations can cause shortness of breath, chest pain, dizziness, or other symptoms. Palpitations can affect people of all ages, but they’re most common among children and young adults. Palpitations usually don’t last long; they often resolve on their own within minutes or hours. If palpitations persist longer than a few days, talk with your doctor about possible causes.","[""- For C0300 items, instructions should be written as: — C0300A: “Please tell me what year it is right now.” — C0300B: “What month are we in right now?” — C0300C: “What day of the week is today?”\n\n- For C0400 items, instructions should be written as: — “Let’s go back to an earlier question. What were those three words that I"", ""History of rheumatic fever in childhood, known rheumatic heart disease.\n\nFeatures of dyspnoea, palpitations, body oedema, cough, easy fatigability, evidence of heart enlargement, murmurs, thrills, left parasternal heave, raised\n\njugular venous pressure, tachycardia. Hepatomegaly, ascites and basal\n\ncrepitations may be present."", ""information-exchange-basics/what-are-electronic-health-records-ehrs.\n\nOffice of the National Coordinator for Health Information Technology: What is a patient portal?.\n\nAvailable from https://www.healthit.gov/faq/what-patient-portal.\n\nPhysicians’ Desk Reference: Physicians’ Desk Reference 2008. Montvale, NJ. Thomson PDR, 2007.""]",True,"[null, null, null]","[100.0, 99.77924144211674, 99.32974934778682]","[""- For C0300 items, instructions should be written as: — C0300A: “Please tell me what year it is right now.” — C0300B: “What month are we in right now?” — C0300C: “What day of the week is today?”\n\n- For C0400 items, instructions should be written as: — “Let’s go back to an earlier question. What were those three words that I"", ""History of rheumatic fever in childhood, known rheumatic heart disease.\n\nFeatures of dyspnoea, palpitations, body oedema, cough, easy fatigability, evidence of heart enlargement, murmurs, thrills, left parasternal heave, raised\n\njugular venous pressure, tachycardia. Hepatomegaly, ascites and basal\n\ncrepitations may be present."", ""information-exchange-basics/what-are-electronic-health-records-ehrs.\n\nOffice of the National Coordinator for Health Information Technology: What is a patient portal?.\n\nAvailable from https://www.healthit.gov/faq/what-patient-portal.\n\nPhysicians’ Desk Reference: Physicians’ Desk Reference 2008. Montvale, NJ. Thomson PDR, 2007.""]",0.1043,0.0177,0.087,0.0
What is (are) Angina ?,"Angina is chest pain or discomfort you feel when there is not enough blood flow to your heart muscle. Your heart muscle needs the oxygen that the blood carries. Angina may feel like pressure or a squeezing pain in your chest. It may feel like indigestion. You may also feel pain in your shoulders, arms, neck, jaw, or back. Angina is a symptom of coronary artery disease (CAD), the most common heart disease. CAD happens when a sticky substance called plaque builds up in the arteries that supply blood to the heart, reducing blood flow. There are three types of angina: - Stable angina is the most common type. It happens when the heart is working harder than usual. Stable angina has a regular pattern. Rest and medicines usually help. - Unstable angina is the most dangerous. It does not follow a pattern and can happen without physical exertion. It does not go away with rest or medicine. It is a sign that you could have a heart attack soon. - Variant angina is rare. It happens when you are resting. Medicines can help. Not all chest pain or discomfort is angina. If you have chest pain, you should see your health care provider. NIH: National Heart, Lung, and Blood Institute","Angina is a type of chest pain that occurs when blood flow to the heart muscle is reduced or blocked. The symptoms usually occur after physical exertion, especially at rest, but they can also occur suddenly while lying down or after eating. Angina can cause shortness of breath, dizziness, weakness, cold sweats, nausea, and other discomforts. It can also lead to a heart attack if left untreated.","[""- For C0300 items, instructions should be written as: — C0300A: “Please tell me what year it is right now.” — C0300B: “What month are we in right now?” — C0300C: “What day of the week is today?”\n\n- For C0400 items, instructions should be written as: — “Let’s go back to an earlier question. What were those three words that I"", ""Admit the patient and institute specialist consultation promptly.\n\nInstitute potential antimicrobial administration immediately as below.\n\n- Ensure secure airway during referral and provide competent escort.\n\n- If Ludwig’s Angina is diagnosed, then clinicians consulted may consider"", ""information-exchange-basics/what-are-electronic-health-records-ehrs.\n\nOffice of the National Coordinator for Health Information Technology: What is a patient portal?.\n\nAvailable from https://www.healthit.gov/faq/what-patient-portal.\n\nPhysicians’ Desk Reference: Physicians’ Desk Reference 2008. Montvale, NJ. Thomson PDR, 2007.""]",True,"[null, null, null]","[100.0, 97.11768460852271, 96.0714681313007]","[""- For C0300 items, instructions should be written as: — C0300A: “Please tell me what year it is right now.” — C0300B: “What month are we in right now?” — C0300C: “What day of the week is today?”\n\n- For C0400 items, instructions should be written as: — “Let’s go back to an earlier question. What were those three words that I"", ""Admit the patient and institute specialist consultation promptly.\n\nInstitute potential antimicrobial administration immediately as below.\n\n- Ensure secure airway during referral and provide competent escort.\n\n- If Ludwig’s Angina is diagnosed, then clinicians consulted may consider"", ""information-exchange-basics/what-are-electronic-health-records-ehrs.\n\nOffice of the National Coordinator for Health Information Technology: What is a patient portal?.\n\nAvailable from https://www.healthit.gov/faq/what-patient-portal.\n\nPhysicians’ Desk Reference: Physicians’ Desk Reference 2008. Montvale, NJ. Thomson PDR, 2007.""]",0.2764,0.0879,0.1673,0.0
What is (are) Brain Malformations ?,"Most brain malformations begin long before a baby is born. Something damages the developing nervous system or causes it to develop abnormally. Sometimes it's a genetic problem. In other cases, exposure to certain medicines, infections, or radiation during pregnancy interferes with brain development. Parts of the brain may be missing, abnormally small or large, or not fully developed. Treatment depends upon the problem. In many cases, treatment only helps with symptoms. It may include antiseizure medicines, shunts to drain fluid from the brain, and physical therapy. There are head malformations that do not involve the brain. Craniofacial disorders are the result of abnormal growth of soft tissue and bones in the face and head. It's common for new babies to have slightly uneven heads, but parents should watch the shape of their baby's head for possible problems. NIH: National Institute of Neurological Disorders and Stroke","Brain malformations can occur at any age, although they are more common during childhood or adolescence. They may affect one or both sides of the brain. The exact cause of anencephaly is unknown. It occurs when a part of the brain fails to form properly before birth. Encephalocoele and encephalomyelocoele are most commonly seen in children between ages 6 months and 5 years. Hyperuricosuria is also known as hyperuricemia, which is high blood uric acid levels. This condition usually affects people who have had kidney stones or other conditions that increase uric acid production.","[""Infections in the nose, sinuses, ears, throat and lungs Penetrating injuries of the skull and spinal column, and\n\nCongenital malformations of the brain and spine."", ""Anencephaly is the complete absence of the brain apart from the brain stem, while encephalocoele and encephalomyelocoele are most commonly occipital but\n\ncan be frontal.\n\n<!-- page: 244 -->"", ""malformations, and hyperuricosuria.""]",True,"[null, null, null]","[100.0, 79.35794617952598, 78.56750451349718]","[""Infections in the nose, sinuses, ears, throat and lungs Penetrating injuries of the skull and spinal column, and\n\nCongenital malformations of the brain and spine."", ""Anencephaly is the complete absence of the brain apart from the brain stem, while encephalocoele and encephalomyelocoele are most commonly occipital but\n\ncan be frontal.\n\n<!-- page: 244 -->"", ""malformations, and hyperuricosuria.""]",0.2645,0.0417,0.1322,0.0
Which symptom can occur due to metronidazole-induced neurotoxicity?,Tingling or numbness in the hands and feet,"Symptoms include dizziness, headache, nausea, vomiting, and confusion.","[""Difficulty in swallowing on attempted initiation of swallowing and can occur at any stage of the swallowing process. A symptom that is more common than\n\nappreciated and can be due to many causes. Carcinoma of the oesophagus/ cardia, for example, is the most common cause in the older age group for adults."", ""Serious complications of HBP can be acute (hypertensive encephalopathy, left-sided heart failure, acute renal failure)\n\nor delayed i.e. occur after a long period during which HBP has not been controlled (stroke, ischaemic heart disease,\n\nperipheral arterial disease, chronic renal impairment).\n\nFor pregnancy-induced hypertension, see Essential obstetric and newborn care, MSF."", ""cases are due to iron deficiency resulting from dietary deficiency, or blood loss from hookworm infestations, haemolysis due to malaria and sickle cell disease.\n\nAnaemia can also be due to folate deficiency resulting from inadequate intake.\n\nIron deficiency and folic acid deficiency often occur together causing “Dimorphic Anaemia”.""]",True,"[null, null, null]","[100.0, 93.68425408560857, 84.73875244758065]","[""Difficulty in swallowing on attempted initiation of swallowing and can occur at any stage of the swallowing process. A symptom that is more common than\n\nappreciated and can be due to many causes. Carcinoma of the oesophagus/ cardia, for example, is the most common cause in the older age group for adults."", ""Serious complications of HBP can be acute (hypertensive encephalopathy, left-sided heart failure, acute renal failure)\n\nor delayed i.e. occur after a long period during which HBP has not been controlled (stroke, ischaemic heart disease,\n\nperipheral arterial disease, chronic renal impairment).\n\nFor pregnancy-induced hypertension, see Essential obstetric and newborn care, MSF."", ""cases are due to iron deficiency resulting from dietary deficiency, or blood loss from hookworm infestations, haemolysis due to malaria and sickle cell disease.\n\nAnaemia can also be due to folate deficiency resulting from inadequate intake.\n\nIron deficiency and folic acid deficiency often occur together causing “Dimorphic Anaemia”.""]",0.125,0.0,0.125,0.0
Why is it important to individualize nursing interventions?,Individualization ensures that interventions are appropriate for a patient’s unique condition and preferences.,To ensure that interventions are tailored to each resident's unique needs and preferences.,"[""Whether alternate interventions were identified when nutritional status is not improving or clinical justification is provided as to why current interventions\n\ncontinue to be appropriate.\n\n<!-- page: 324 -->"", ""interventions (e.g., sleep hygiene approaches that SLEEP HYGIENE\n\nindividualize the sleep and wake times to accommodate Practices, habits and the person’s wishes and prior customary routine) to try environmental factors that\n\nto improve sleep prior to initiating pharmacologic promote and/or improve interventions. If residents are currently on sleep- sleep patterns.\n\nenhancing medications, nursing home staff can try non-"", ""Interviewer clarifies, “You think it is important to hear the news. Would you say it is [points to card] very important, somewhat important, or it’s important but you can’t do it or have no""]",True,"[null, null, null]","[100.0, 98.12142176296062, 97.36296746255032]","[""Whether alternate interventions were identified when nutritional status is not improving or clinical justification is provided as to why current interventions\n\ncontinue to be appropriate.\n\n<!-- page: 324 -->"", ""interventions (e.g., sleep hygiene approaches that SLEEP HYGIENE\n\nindividualize the sleep and wake times to accommodate Practices, habits and the person’s wishes and prior customary routine) to try environmental factors that\n\nto improve sleep prior to initiating pharmacologic promote and/or improve interventions. If residents are currently on sleep- sleep patterns.\n\nenhancing medications, nursing home staff can try non-"", ""Interviewer clarifies, “You think it is important to hear the news. Would you say it is [points to card] very important, somewhat important, or it’s important but you can’t do it or have no""]",0.5714,0.3846,0.5714,0.0
When is a broad-spectrum antibiotic prescribed?,"It may be prescribed while awaiting culture results, for polymicrobial infections, or for surgical infection prevention.",A broad-spectrum antibiotic is used when broad-spectrum antibiotics are prescribed.,"[""People who get recurrent infection should be given concurrent prophylactic treatment whenever broad-spectrum antibiotics are prescribed."", ""- Broad spectrum antimicrobial, e.g., cotrimoxazole or amoxicillin for 7 days."", ""- Continue with IV fluids until shock is reversed and cause treated. Closely monitor vital signs. Monitor urinary output. Give broad spectrum bactericidal antibiotics if septic shock is suspected. Continue maintenance until shock is reversed and the cause is reversed. Undertake surgical intervention as soon as patient is stable (i.e., laparatomy for intestinal obstruction) and broad spectrum antibiotics for sepsis and burns.""]",True,"[null, null, null]","[100.0, 80.1969781045977, 73.71162748817291]","[""People who get recurrent infection should be given concurrent prophylactic treatment whenever broad-spectrum antibiotics are prescribed."", ""- Broad spectrum antimicrobial, e.g., cotrimoxazole or amoxicillin for 7 days."", ""- Continue with IV fluids until shock is reversed and cause treated. Closely monitor vital signs. Monitor urinary output. Give broad spectrum bactericidal antibiotics if septic shock is suspected. Continue maintenance until shock is reversed and the cause is reversed. Undertake surgical intervention as soon as patient is stable (i.e., laparatomy for intestinal obstruction) and broad spectrum antibiotics for sepsis and burns.""]",0.0714,0.0,0.0714,0.0
Which electrolyte imbalance may be exacerbated by propranolol?,Hyperkalemia,"Propranolol/atenolol may cause hyperkalemia. Hyperkalemia is a condition where potassium levels rise above normal. It can lead to muscle weakness, arrhythmias, and cardiac arrest. If not treated, it can result in death.","[""Correct fluid and electrolyte imbalance. These are usually disturbed by the movement of fluid and electrolytes into the third space. The disturbance could SURGERY\n\narise or be made worse by vomiting and/or diarrhoea.\n\nConsider nasogastric suction, which is usually necessary because of organ hypotonia and dilatation."", ""<!-- page: 306 -->\n\nresult in fluid/electrolyte imbalance. Abrupt weight changes, change in food intake, or altered level of consciousness are some of the clinical manifestations of fluid and\n\nelectrolyte imbalance. Laboratory tests (e.g., electrolytes, BUN, creatinine and serum osmolality) can help greatly to identify, manage, and monitor fluid and electrolyte status.9"", ""Severe: HCTZ* + propranolol/atenolol + hydralazine/captopril OR HCTZ* +\n\npropranolol/atenolol + nifedipine/captopril OR HCTZ* + propranolol/atenolol +""]",True,"[null, null, null]","[100.0, 98.18379420464612, 81.68465315333691]","[""Correct fluid and electrolyte imbalance. These are usually disturbed by the movement of fluid and electrolytes into the third space. The disturbance could SURGERY\n\narise or be made worse by vomiting and/or diarrhoea.\n\nConsider nasogastric suction, which is usually necessary because of organ hypotonia and dilatation."", ""<!-- page: 306 -->\n\nresult in fluid/electrolyte imbalance. Abrupt weight changes, change in food intake, or altered level of consciousness are some of the clinical manifestations of fluid and\n\nelectrolyte imbalance. Laboratory tests (e.g., electrolytes, BUN, creatinine and serum osmolality) can help greatly to identify, manage, and monitor fluid and electrolyte status.9"", ""Severe: HCTZ* + propranolol/atenolol + hydralazine/captopril OR HCTZ* +\n\npropranolol/atenolol + nifedipine/captopril OR HCTZ* + propranolol/atenolol +""]",0.0588,0.0,0.0588,0.0
