user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
Which side effect of pilocarpine may indicate excessive parasympathetic activation?,"['medication interactions. A side effect is an expected, well-known reaction that occurs with a predictable frequency and may or may not\n\nconstitute an adverse consequence.\n\n―Anticholinergic side effect‖ is an effect of a medication that opposes or inhibits the activity of the parasympathetic (cholinergic) nervous system to the point of\n\ncausing symptoms such as dry mouth, blurred vision, tachycardia, urinary retention, constipation, confusion, delirium, or hallucinations.', '□ • Side effect of medication, such as dizziness,', 'used for prophylaxis, diagnosis, or therapy. The term ―side effect‖ is often used interchangeably with ADR; however, side effects are but one of five\n\nADR categories. The others are hypersensitivity, idiosyncratic response, toxic reactions, and adverse medication interactions. A side effect is an expected,\n\n<!-- page: 522 -->\n\nwell-known reaction that occurs with a predictable frequency and may or may not rise to the level of being an adverse consequence.']",A side effect of pilocarpine may indicate excessive parasympathetic activation.,Severe salivation and sweating,1.0,0.8325768733252165,0.0,0.0
What is aseptic technique?,"['This is inflammation of the peritoneum. Appreciate that peritonitis could be due to tuberculosis and could also be aseptic. The aseptic type is usually due to\n\nchemical irritants like pancreatic juices, etc. Peritonitis usually ends up producing adhesions that may cause future bowel obstructions of varying degrees.', 'Treatment is surgical incision and drainage, under aseptic conditions (i.e. sterile consumables and instruments,\n\nantiseptic skin preparation).', 'Antimicrobial prophylaxis can decrease the incidence of infection, particularly wound infection after certain operations, but this benefit must be weighed against\n\ncost, risks of toxic or allergic reactions, and emergence of resistant bacteria. The administration of antibiotic agents to prevent infection cannot be substituted for\n\neither sound surgical judgment or strict aseptic technique.\n\nSurgical wounds may be designated as clean, contaminated, or dirty, as described below:']",Aseptic technique refers to a set of procedures used to minimize contamination during surgery. It involves using sterile equipment and techniques to prevent the spread of microorganisms from one part of the body to another.,A method to prevent the transfer of microorganisms during medical procedures.,0.75,0.7754243840210502,0.5833333333041666,1.0
What is (are) Klippel Feil Syndrome ?,"['Children with nephritic syndrome who have haematuria with hypertension are categorized as nephritic nephrosis.', '- For C0300 items, instructions should be written as: — C0300A: “Please tell me what year it is right now.” — C0300B: “What month are we in right now?” — C0300C: “What day of the week is today?”\n\n- For C0400 items, instructions should be written as: — “Let’s go back to an earlier question. What were those three words that I', 'Epilepsy is a clinical syndrome characterized by the presence of recurrent seizures. Seizures are result of excessive electric impulse discharge of cerebral\n\nneurones.\n\n<!-- page: 86 -->']","Klippel Feil syndrome is a disorder that affects the bones and joints. The condition causes abnormal growth of bone tissue called ossification. This can lead to deformities such as short stature, clubfoot, or bowed legs. In some cases, people may also develop joint problems such as arthritis. People with Klippel Feil syndrome usually have more than one abnormal bone growth pattern.","Klippel-Feil Syndrome is a rare disorder characterized by the congenital fusion of two or more cervical (neck) vertebrae. It is caused by a failure in the normal segmentation or division of the cervical vertebrae during the early weeks of fetal development. The most common signs of the disorder are short neck, low hairline at the back of the head, and restricted mobility of the upper spine. The fused vertebrae can cause nerve damage and pain in the head, neck, or back. Associated abnormalities may include scoliosis (curvature of the spine), spina bifida (a birth defect of the spine), cleft palate, respiratory problems, and heart malformations. Other features may include joint pain; anomalies of the head and face, skeleton, sex organs, muscles, brain and spinal cord, arms, legs, and fingers; and difficulties hearing. Most cases are sporadic (happen on their own) but mutations in the GDF6 (growth differentiation factor 6) or GDF3 (growth differentiation factor 3) genes can cause the disorder. These genes make proteins that are involved in bone development and segmentation of the vertebrae.",0.0,0.8148427308310427,0.0,0.14285714285714285
What causes urge urinary incontinence?,"['Urge incontinence: underlying causes and identification of the\n\nAnticholinergics, e.g., type/category of urinary incontinence needs to be', 'results from an increase in intra-abdominal pressure on a bladder that is not over distended and is not the result of detrusor contractions. It is the second most\n\ncommon type of urinary incontinence in older women.\n\n<!-- page: 236 -->\n\nMixed Incontinence is the combination of urge incontinence and stress\n\nincontinence. Many elderly persons (especially women) will experience\n\nsymptoms of both urge and stress called mixed incontinence.', 'o ―Urge Incontinence‖ (overactive bladder) is associated with\n\ndetrusor muscle overactivity (excessive contraction of the smooth muscle in the wall of the urinary bladder resulting in a sudden, strong urge (also\n\nknown as urgency) to expel moderate to large amounts of urine before the bladder is full).\n\n―Urinary Retention‖ is the inability to completely empty the urinary bladder by micturition.']","The cause of urge urinary incontinence is unknown. However, it may be related to aging or other medical conditions such as diabetes, kidney disease, or certain medications.",Increased bladder sensitivity or decreased inhibitory control of the nervous system.,0.0,0.9890801225675786,0.0,0.8571428571428571
What are the symptoms of Mehes syndrome ?,"['consequence related to anticoagulation.\n\nFailure to recognize developing serotonin syndrome (e.g., confusion, motor restlessness, tremor) in a resident receiving a SSRI, leading to the addition of medications with\n\nadditive serotonin effect or medication to suppress the symptoms.\n\nFailure to recognize and respond to signs and symptoms of neuroleptic malignant syndrome (NMS).', '1. What are the medical symptoms that led to the consideration of the use of restraints?\n\n2. Are these symptoms caused by failure to:\n\na. Meet individual needs in accordance with the resident assessments?\n\nb. Use rehabilitative/restorative care?\n\nc. Provide meaningful activities?\n\nd. Manipulate the resident‘s environment, including seating?\n\n3. Can the cause(s) of the medical symptoms be eliminated or reduced?', 'Use haloperidol (see Acute confusional state).\n\nAlcoholic patients can experience withdrawal symptoms within 6 to 24 hours after they stop drinking. Withdrawal\n\nsyndrome should be taken into consideration in patients who are hospitalised and therefore forced to stop drinking\n\nabruptly. In the early phase (pre-delirium tremens), the symptoms include irritability, a general feeling of malaise, profuse']","Symptoms of Mehes syndrome may include:

- Confusion

- Motor restlessness

- Tremors

- Seizures

- Dizziness

- Nausea

- Vomiting

- Diarrhea

- Abdominal pain

- Constipation

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea

- Diarrhea","What are the signs and symptoms of Mehes syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Mehes syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Blepharophimosis 90% External ear malformation 90% Facial asymmetry 90% Hypertelorism 90% Low-set, posteriorly rotated ears 90% Neurological speech impairment 90% Ptosis 90% Strabismus 90% Abnormality of the palate 50% Cognitive impairment 50% Long philtrum 50% Anteverted nares 7.5% Anterior creases of earlobe - Autosomal dominant inheritance - Delayed speech and language development - Low-set ears - Specific learning disability - Unilateral narrow palpebral fissure - Unilateral ptosis - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",,0.9999999999999166,0.49999999995,0.0
what research (or clinical trials) is being done for Childhood Acute Myeloid Leukemia and Other Myeloid Malignancies ?,"['evaluation and management. Early treatment of malignancies carries the best prognosis. Clinical features, useful investigations, and management of common\n\nchildhood malignancies are summarized in Table 34.1.\n\nTable 35.1: Common childhood malignancies, their clinical features,', '34.1: Average normal haemoglobin levels in childhood 258\n\n35.1: Common childhood malignancies, their clinical features, useful', '35. Neoplasms in Childhood\n\nNeoplasms can occur in any age group. In general most neoplasms require referral to higher level for treatment. All suspected malignancies or those for\n\nwhich the diagnosis is unclear should be referred early to facilitate appropriate\n\n<!-- page: 308 -->']","The National Cancer Institute has a number of ongoing studies on childhood acute myeloid leukemia and other myeloid malignancies. These include studies on the genetics of these diseases, the role of environmental factors in the development of these diseases, and the use of genetic testing to predict disease risk. The results of these studies may help us better understand how childhood cancers develop and provide clues about ways to prevent them.","New types of treatment are being tested in clinical trials. This summary section describes treatments that are being studied in clinical trials. It may not mention every new treatment being studied. Information about clinical trials is available from the NCI website. Biologic therapy Biologic therapy is a treatment that uses the patients immune system to fight cancer. Substances made by the body or made in a laboratory are used to boost, direct, or restore the bodys natural defenses against cancer. This type of cancer treatment is also called biotherapy or immunotherapy. Natural killer (NK) cells are a type of biologic therapy. NK cells are white blood cells that can kill tumor cells. These may be taken from a donor and given to the patient by infusion to help kill leukemia cells. Patients may want to think about taking part in a clinical trial. For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment. Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment. Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward. Patients can enter clinical trials before, during, or after starting their cancer treatment. Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment. Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials.",0.0,0.8653028784585786,0.9999999999666667,
What is the primary goal of oxygen therapy in hypoxia management?,"['- O0110C1, Oxygen therapy Code continuous or intermittent oxygen administered via mask, cannula, etc., delivered to a resident to relieve hypoxia in this item. Code oxygen used in Bi-level Positive Airway Pressure/Continuous Positive Airway Pressure (BiPAP/CPAP) here. Do not code hyperbaric oxygen for wound therapy in this item. This item may be coded if the resident places or removes their own oxygen mask, cannula.', 'Give oxygen by nasal prongs or catheter until signs of hypoxia disappear (cyanosis or severe respiratory distress) or oxygen saturations are above 90%', 'In pregnant women, treatment is the same as for adults. In mild or moderate asthma attacks, administering oxygen\n\nreduces the risk of foetal hypoxia.\n\nFor all patients, irrespective of the severity of the asthma attack, look for underlying lung infection and treat\n\naccordingly.']",To reduce the risk of foetal hypoxia.,To maintain adequate tissue oxygenation and prevent organ failure.,1.0,0.6505088389311288,0.49999999995,1.0
Why should transdermal patches not be placed on broken or irritated skin?,"['o The administration of routine medication(s), and if not administered, an explanation of why not;\n\no The administration of ―as-needed‖ medications including the justification and response;\n\no The route, if other than oral (intended route may be preprinted on MAR); and\n\no Location of administration sites such as transdermal patches and injections;', '- Transdermal patches are generally worn for and release medication over a period of several days. To code N0415, only capture the medication if the transdermal patch was applied to the resident’s skin during the observation period. For example, if, during the 7day look-back period, a fentanyl patch was applied on days 1, 4, and 7, N0415H Opioid would be checked, because the application occurred during the look-back period.', '- Check L0200C, abnormal mouth tissue (ulcers, masses, oral lesions): select if any ulcer, mass, or oral lesion is noted on any oral surface.\n\n- Check L0200D, obvious or likely cavity or broken natural teeth: if any cavity or broken tooth is seen.\n\n- Check L0200E, inflamed or bleeding gums or loose natural teeth: if gums appear irritated, red, swollen, or bleeding. Teeth are coded as loose if they readily move when light pressure is applied with a fingertip.']",Transdermal patches should not be placed on broken or irritated skin because they can cause irritation and increase the risk of infection.,To prevent increased absorption and potential skin reactions.,0.0,0.9999999999999135,0.3333333333,0.0
What is antibiotic stewardship?,"['Table 7.9: Selected infections with recommended antibiotic treatment\n\nInfection or related First line antibiotic Second line antibiotic', 'It is not the anti-infective/antibiotic of choice for', '- For C0300 items, instructions should be written as: — C0300A: “Please tell me what year it is right now.” — C0300B: “What month are we in right now?” — C0300C: “What day of the week is today?”\n\n- For C0400 items, instructions should be written as: — “Let’s go back to an earlier question. What were those three words that I']",Antibiotic stewardship is a process by which healthcare providers and patients work together to ensure appropriate use of antibiotics.,A program promoting appropriate antibiotic use to reduce resistance and improve outcomes.,0.0,0.9999999999999442,0.0,0.0
What is the first step before inserting an indwelling urinary catheter?,"['- If a resident has an indwelling catheter, toileting hygiene includes perineal hygiene to the indwelling catheter site, but not management of the equipment. o For example, if the resident has an indwelling urinary catheter and has bowel movements, code Toileting hygiene based on the type and amount of assistance needed by the resident before and after moving their bowels. This may include the need to perform perineal hygiene to the indwelling urinary catheter site after the bowel movement.', 'The urinary tract is a common source of bacteremia in nursing home residents. Urinary tract infection (UTI) is one of the most common infections occurring in nursing homes\n\nand is often related to an indwelling urinary catheter. Without a valid clinical rationale for an indwelling catheter, its use is not an acceptable approach to manage urinary', '<!-- page: 778 -->\n\nCMS’s RAI Version 3.0 Manual Appendix C: CAA Resources\n\n6. Urinary Incontinence and Indwelling Catheter\n\n6. URINARY INCONTINENCE AND INDWELLING CATHETER Review of Indicators of Urinary Incontinence and Indwelling Catheter']","First, the nurse should check that the patient's bladder is empty and that there are no signs of leakage or discomfort during insertion.",Review and follow agency policy regarding catheter insertion.,0.5,0.6714854680000757,0.0,0.0
What is diarrhea?,"['What is the facility‘s practice for dealing with employees who come to work with symptoms of contagious illness (e.g., coughing, sneezing, diarrhea, vomiting) or open', '□ • Abdominal pain, with or without diarrhea,', 'Fluid loss and increased fluid needs (e.g., diarrhea, fever, uncontrolled diabetes);']","Diarrhea is a condition in which there are loose stools that may be watery, bloody, or mucus-like. It can also cause abdominal pain, nausea, and sometimes vomiting. People with diarrhea often feel very tired and have no energy to do normal activities. If you have diarrhea, it's important to drink plenty of fluids to stay hydrated. You should avoid eating too much food because this can make your digestive system more sensitive to bacteria. If you're not feeling well, see your doctor right away.",Having more than three unformed stools in 24 hours.,0.23076923076923078,0.7101523476612517,0.3333333333,1.0
What is the purpose of a fever?,"['(PEG) tubes.\n\nFever A fever is present when the resident’s temperature (°F) is', '- Explain the purpose of the questions to the resident. — Start by introducing the topic and explain that you are going to ask a series of questions. — You can tell the resident that these questions are designed to be asked of everyone to make sure that nothing is missed. — Highlight what you will ask. — End by explaining that their answers will help the care team develop a care plan that is appropriate for the resident. — Suggested explanations and introductions are included in specific item', '■ If the lift has a self-contained Based on many factors, including charging unit, what is the amount the characteristics of the resident\n\nof space necessary for charging population and the layout of the and what electrical receptacles are facility, employers should determine\n\nrequired? What is the minimum the number and types of devices charging time of a battery? needed. Devices should be located so']",To indicate an illness or infection.,A fever enhances the immune response by stimulating white blood cells and inhibiting pathogen growth.,0.5,0.4379092208671142,0.0,0.0
Why is an adapter required for oxygen tubing?,"['skin that is under braces or blood flow; resident refusal of subjected to pressure (e.g., ears from oxygen tubing). care and treatment; cognitive', '- Mucosal pressure ulcers are not staged using the skin pressure ulcer staging system because anatomical tissue comparisons cannot be made. Therefore, mucosal ulcers (for example, those related to nasogastric tubes, nasal oxygen tubing, endotracheal tubes, urinary catheters, etc.) should not be coded here.', 'Oxygen at the flow rate required to maintain SpO2 ≥ 90% or, if pulse oxymeter is not available, minimum 1 litre/minute.\n\nLocal disinfection of skin lesions.\n\n<!-- page: 102 -->\n\nIf there is significant pleural effusion: pleural tap with drainage (for pyopneumothorax; insert 2 drains, one anterior\n\nand one posterior) or without drainage (for suppurative pleurisy, make repetitive taps with an IV catheter).']",The adapter allows a flexible connection between the oxygen tubing and the ventilator.,To securely connect the tubing to the flow meter.,0.0,0.8597478430003448,0.0,0.0
Have you experienced any swelling in your legs or feet?,"['Interviewer replies, “You said that your family and close friends aren’t involved right now.\n\nWhen you think about what you would prefer, would you say that it’s very important, somewhat important, not very important, not important at all, or that it is important but you\n\nhave no choice or can’t have them involved in decisions about your care?”', 'If you forgets to take a pill, take it as soon as you remember. Take the next pill at the regular time even if this means taking 2 pills on the same day. Return to the clinic in case of the following: OBSTETRICS • Suspected pregnancy GYNAECOLOGY &\n\n- Swelling or pain in legs\n\n- Yellowing of skin or eyes\n\n- Pain in abdomen, chest, or arms or shortness of breath', 'Interviewer probes, “You said your pastor sends you taped dietary laws, honoring services. Would you say that it is very important, somewhat holidays and religious\n\nimportant, not very important, or not important at all, to festivals, and participating in you that you are able to listen to those tapes from your communion or confession.']",The nurse says that the patient has been prescribed an antihypertensive medication. The nurse also mentions that the patient has been prescribed a beta-blocker. The nurse then asks the patient whether she has taken her blood pressure medication for two weeks. The patient responds that she has not had any blood pressure medications for two weeks. The nurse then asks the patient whether she has taken her beta-blocker for two weeks. The patient responds that she has not had any beta-blockers for two weeks. The nurse then asks the patient whether she has taken her antihypertensive medication for two weeks. The patient responds that she has not had any antihypertensive medication for two weeks. The nurse then asks the patient whether she has taken her beta-blocker for two weeks. The patient responds that she has not had any beta-blockers for two weeks. The nurse then asks the patient whether she has taken her antihypertensive medication for two weeks. The patient responds that she has not had any antihypertensive medication for two weeks. The nurse then asks the patient whether she has taken her beta-blocker for two weeks. The patient responds that she has not had any beta-blockers for two weeks. The nurse then asks the patient whether she has taken her antihypertensive medication for two weeks. The patient responds that she has not had any antihypertensive medication for two weeks. The nurse then asks the patient whether she has taken her beta,"Yes, my ankles are very swollen.",,0.2641196355099987,0.0,0.5
How to diagnose What I need to know about Diarrhea ?,"['Certified nursing assistant: “They need help to get to sitting up and then standing.” Nurse: “I’d like to know how much help they need for safely rising up from sitting in a\n\nchair or sitting on the bed to get to a standing position.” Certified nursing assistant: “They need two people to assist them to stand up from\n\nsitting on the side of the bed or when they are sitting in a chair.” In this example, the nurse inquired specifically about how Resident L moves from a sitting', 'Interview nursing staff on various shifts to determine:\n\n- Their knowledge of the specific interventions for the resident, including facilityspecific guidelines/protocols;\n\n- Whether nursing assistants know how, what, when, and to whom to report', 'Certified nursing assistant: “They can lie down with some help.” Nurse: “Please describe how much help they need and exactly how you help them.”\n\nCertified nursing assistant: “I have to lift and position their right leg, but once I do that, they can use their arms to position their upper body.”\n\nIn this example, the nurse inquired specifically about how Resident H moves from a sitting position to a lying position. The nurse asked about physical assistance.']","Diarrhea is an illness caused by changes in the normal flow of water and nutrients in the digestive system. It usually occurs after eating too many foods high in fiber, such as fruits, vegetables, beans, nuts, and whole grains. Other factors include stress, certain medications, and certain diseases. Symptoms may vary depending on the cause. Some symptoms may be mild while others may be severe. People who have diarrhea often feel tired, weak, and uncomfortable. They may also experience abdominal pain, cramping, nausea, vomiting, and/or diarrhea. If not treated properly, diarrhea can lead to dehydration, malnutrition, and other serious health problems.","To find the cause of diarrhea, the health care provider may - perform a physical exam - ask about any medicines you are taking - test your stool or blood to look for bacteria, parasites, or other signs of disease or infection - ask you to stop eating certain foods to see whether your diarrhea goes away If you have chronic diarrhea, your health care provider may perform other tests to look for signs of disease.",0.14285714285714285,0.7205362333633705,0.0,0.2
What should a nurse do if a patient refuses an injection?,"['Ask two staff persons separately (e.g., nurse aide, housekeeper, maintenance person) and the charge nurse:\n\nIf the fire alarm goes off, what do you do?\n\nIf you discover that a resident missing, what do you do?\n\nWhat would you do if you discovered a fire in a resident‘s room?\n\nWhere are fire alarms and fire extinguisher(s) located on this unit?\n\nHow do you use the fire extinguisher?', 'Move to an appropriate hospital (are you going straight to a specialist centre?)\n\nObserve in transit. What equipment do you need?\n\nVerify the treatment before departure (do you have enough oxygen, fluids or analgesics.\n\nEscort if necessary – Doctor, nurse or paramedic.', 'requirement)?\n\nWhat does the charge nurse do to correct problems in nurse staff performance?\n\nDoes the facility have the services of an RN available 8 consecutive hours a day, 7 days a week (if this requirement has not been waived)?\n\nHow does the facility assure that each resident receives nursing care in accordance with his/her plan of care on weekends, nights, and holidays?']",Phương pháp học tập và giảng dạy tại trường đại học: Phương pháp học tập và giảng dạy tại trường đại học là một trong những phương pháp giáo dục phổ biến nhất. Phương pháp này giúp sinh viên tiếp thu kiến thức và hiểu rõ hơn về chủ đề mà họ đang học. Phương pháp này cũng giúp sinh viên nắm vững kiến thức mà họ đã được dạy và hiểu rõ hơn về chủ đề mà họ đang học.,"Assess their concerns, educate them about the medication, and notify the provider if necessary.",,0.11749172941195361,0.0,0.0
What are the treatments for deafness and myopia syndrome ?,"['and thus may not be able to lead an independent life. Mental retardation may also be part of a condition like Down’s Syndrome. It is necessary to exclude deafness\n\nand cerebral palsy because hearing impairment retards the child’s ability to learn at normal pace, while children with cerebral palsy may have normal intelligence\n\nbut are physically impaired to perform.', '―Physical Dependence‖ is a physiologic state of neuroadaptation that is characterized by a withdrawal syndrome if a medication or drug is stopped or\n\ndecreased abruptly, or if an antagonist is administered.\n\n―Standards of Practice‖ refers to approaches to care, procedures, techniques, treatments, etc., that are based on research and/or expert consensus and that are', 'Including combination Alternate treatments for hypertension are preferred']",The treatment for deafness and myopia syndrome includes surgery to correct vision problems such as cataracts and glaucoma.,These resources address the diagnosis or management of deafness and myopia syndrome: - Baby's First Test: Hearing Loss - EyeSmart: Eyeglasses for Vision Correction - Gene Review: Gene Review: Deafness and Myopia Syndrome - Harvard Medical School Center for Hereditary Deafness - KidsHealth: Hearing Evaluation in Children - MedlinePlus Encyclopedia: Cochlear Implant - MedlinePlus Health Topic: Cochlear Implants - MedlinePlus Health Topic: Hearing Aids - MedlinePlus Health Topic: Newborn Screening These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,0.0,0.9812900477251651,0.0,0.6666666666666666
Why should pseudoephedrine be avoided in patients with arrhythmias?,"['their use should be avoided in residents with Stage', 'Cyanotic patients should be observed for polycythaemia in and dehydration avoided.\n\nVenesection with volume replacement should be carried out for polycythaemic when haematocrit goes above >65% and maintain it between 55–65%.', 'ciprofloxacin Use should be avoided in individuals with\n\n<!-- page: 368 -->']",Pseudoephedrine can cause tachycardia or bradycardia.,It can increase heart rate and worsen arrhythmias,0.0,0.6916322709130344,0.0,1.0
What is the impact of renal failure on allopurinol metabolism?,"['- Chronic renal failure is diagnosed.\n\n- End stage renal failure.', 'drugs.\n\nAllopurinol 300mg OD is drug of choice for lowering uric acid levels.\n\n(Allopurinol should not be given when the patient is in pain.)', 'Chronic renal failure describes the situation in which there is advanced, irreversible, and usually progressive renal failure. Chronic renal failure is\n\ncommonly caused by chronic glomerulopathies, hypertension, chronic interstitial\n\nnephritis, and diabetes mellitus. The following are important manifestations of chronic renal failure:\n\nThere is poor growth.\n\nAt biochemical level in the blood, there is acidosis, hyperkalaemia, elevated blood urea and elevated serum creatinine.']","The use of allopurinol can cause a decrease in urine pH, leading to an increase in urinary excretion of uric acid. This may result in increased uric acid levels in the blood.",It can lead to increased drug accumulation and toxicity.,0.0,0.6921666448960808,0.8333333332916666,1.0
What is (are) Hepatitis B: What Asian and Pacific Islander Americans Need to Know ?,"['up to the Asian category of the OMB standard.\n\nResponse choices A1010K through A1010N roll up to\n\nthe Native Hawaiian or Other Pacific Islander category\n\nof the OMB standard. The categories in this', 'CATHETER • It is important to know what appliances are in use and A catheter that is maintained the history and rationale for such use.', 'If nursing assistants know what, when, and to whom to report changes in skin']","Hepatitis B is a liver disease caused by a virus called hepatitis B. It can cause serious damage to the liver and other organs if left untreated. If you have hepatitis B, your doctor may tell you to take medicine to prevent it from getting worse. You should also see your doctor regularly to check how well your liver is working. Liver function tests measure how well your liver works. They usually show normal results after 6 months.","Hepatitis B is a liver disease spread through contact with blood, semen, or other body fluids from a person infected with the hepatitis B virus. The disease is most commonly spread from an infected mother to her infant at birth. Hepatitis B is also spread through sex, wound-to-wound contact, and contact with items that may have blood on them, such as shaving razors, toothbrushes, syringes, and tattoo and body piercing needles. Hepatitis B is not spread through casual contact such as shaking hands or hugging; nor is it spread by sharing food or beverages, by sneezing and coughing, or through breastfeeding.",,0.6595594478175626,0.0,0.0
Why should a nurse report ‘near misses’ in medication administration?,"['- Any medication that has a pharmacological classification or therapeutic category of antipsychotic medication must be recorded in this section, regardless of why the medication is being used.', 'and symptoms.\n\nThe pharmacist failed to identify and report the absence of any explanation as to why or how the benefit of a medication(s) with potential for clinically significant adverse\n\nconsequences outweighs the risk.\n\n<!-- page: 532 -->\n\nThe pharmacist failed to identify and report the lack of evidence or documentation regarding progress toward treatment goals.', 'o The administration of routine medication(s), and if not administered, an explanation of why not;\n\no The administration of ―as-needed‖ medications including the justification and response;\n\no The route, if other than oral (intended route may be preprinted on MAR); and\n\no Location of administration sites such as transdermal patches and injections;']",To ensure that the patient receives appropriate care and prevent complications.,To identify potential system errors and prevent future medication errors.,0.5,0.3967374411007499,0.3333333333,1.0
What are warning signs of skin breakdown in older adults?,"['New horizons in falls prevention and management for older\n\n8. National Instiute for Health and Care Excellence (NICE). adults: a global initiative. Age Ageing 2021; 50: 1499–507.\n\n2019 Surveillance of Falls in Older People: Assessing 26. International Osteoporosis Foundation. What Is Osteo-', 'Skin problems associated with incontinence and moisture can range from irritation to increased risk of skin breakdown. Moisture may make the skin more susceptible to\n\ndamage from friction and shear during repositioning.\n\nOne form of early skin breakdown is maceration or the softening of tissue by soaking.\n\nMacerated skin has a white appearance and a very soft, sometimes ―soggy‖ texture.', '- Residents who are in a coma or persistent vegetative neither arousal (wakefulness, state are at risk for the complications of immobility, alertness) nor awareness including skin breakdown and joint contractures. exists. The person is']","The person is in a coma or persistent vegetative state (Wakefulness, State are at risk for the complications of immobility, alertness), or is not aware of their surroundings (Awareness, Include Skin Breakdown, Joint Contractures).

Warning Signs:

- Dry, cracked lips
- Dry, cracked tongue
- Dry, cracked nose
- Dry, cracked eyes
- Dry, cracked mouth
- Dry, cracked ear
- Dry, cracked eyelid
- Dry, cracked palate
- Dry, cracked tongue
- Dry, cracked nose
- Dry, cracked eye
- Dry, cracked mouth
- Dry, cracked ear
- Dry, cracked palate
- Dry, cracked tongue
- Dry, cracked nose
- Dry, cracked eye
- Dry, cracked mouth
- Dry, cracked ear
- Dry, cracked palate
- Dry, cracked tongue
- Dry, cracked nose
- Dry, cracked eye
- Dry, cracked mouth
- Dry, cracked ear
- Dry, cracked palate
- Dry, cracked tongue
- Dry, cracked nose
- Dry, cracked eye
- Dry, cracked mouth
- Dry, cracked ear
- Dry, cracked palate
- Dry, cracked tongue
- Dry, cracked nose
- Dry, cracked eye
- Dry, cracked mouth
- Dry, cracked ear
- Dry, cracked palate
- Dry, cracked tongue
- Dry, cracked nose
- Dry, cracked eye","Pressure ulcers, unhealed wounds, suspicious lesions.",,0.4600749372358841,0.49999999995,0.8333333333333334
What should a nurse do if a patient's pain remains severe despite medication?,"['Ask two staff persons separately (e.g., nurse aide, housekeeper, maintenance person) and the charge nurse:\n\nIf the fire alarm goes off, what do you do?\n\nIf you discover that a resident missing, what do you do?\n\nWhat would you do if you discovered a fire in a resident‘s room?\n\nWhere are fire alarms and fire extinguisher(s) located on this unit?\n\nHow do you use the fire extinguisher?', 'What is done if pain persists or recurs despite treatment, and the basis for decisions to maintain or modify approaches;\n\nHow staff communicate with the prescriber/practitioner about the resident‘s pain status, current measures to manage pain, and the possible need to modify the', '- Code only pain medication regimens without PRN pain medications in J0100A. Code receipt of PRN pain medications in J0100B.\n\n- For J0100B code only residents with PRN pain medication regimens here. If the resident has a scheduled pain medication J0100A should be coded.']",The patient may require additional analgesics or other treatments.,Alternative pain relief should be explored if pain persists.,0.5,0.5609801048055866,0.3333333333,0.375
