question,reference,prediction,rouge1,rouge2,rougeL,bleu
What are the two main types of nursing care?,Direct care and indirect care.,Primary and secondary care.,0.4444,0.0,0.4444,0.0
What are the symptoms of Spastic paraplegia 2 ?,"What are the signs and symptoms of Spastic paraplegia 2? The Human Phenotype Ontology provides the following list of signs and symptoms for Spastic paraplegia 2. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Gait disturbance 90% Hyperreflexia 90% Muscle weakness 90% Abnormal renal physiology 50% Abnormality of extrapyramidal motor function 50% Bowel incontinence 50% Cognitive impairment 50% Optic atrophy 50% Incoordination 7.5% Limitation of joint mobility 7.5% Neurological speech impairment 7.5% Nystagmus 7.5% Pulmonary embolism 7.5% Recurrent respiratory infections 7.5% Babinski sign - Degeneration of the lateral corticospinal tracts - Dysarthria - Dysmetria - Flexion contracture - Intellectual disability - Juvenile onset - Lower limb muscle weakness - Lower limb spasticity - Pes cavus - Phenotypic variability - Skeletal muscle atrophy - Spastic gait - Spastic paraparesis - Spastic paraplegia - Spinocerebellar tract degeneration - X-linked recessive inheritance - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","What are the signs and symptoms of Spastic paraplegia 2? The Human Phenotype Ontology provides the following list of signs and symptoms for Spastic paraplegia 2. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the hip bone 90% Abnormality of the metacarpal bones 90% Abnormality of the vertebral bodies 90% Abnormality of the wrist 90% Autosomal dominant inheritance - Babinski sign - Cerebellar vermis hypoplasia - Decreased muscle mass - Distal amyotrophy - Dysarthria - Dysmetria - Dysphagia - Episodic ataxia - Gait disturbance - Hyperreflexia - Hyporeflexia - Incoordination - Kyphosis - Lethargy - Muscle weakness - Muscular hypotonia - Myoclonus - Nystagmus - Oligosplenism - Paresthesia - Progressive spastic paralysis - Recurrent fractures",0.4361,0.3496,0.3656,0.0
Why should nurses limit the number of suction passes per session?,To reduce the risk of hypoxia and airway trauma.,To prevent excessive pressure on the airway and reduce risk of aspiration.,0.6667,0.1053,0.381,0.0
What is an advance directive?,An advance directive is a legal document that states a patient’s wishes for treatment in case they become unable to make medical decisions.,A legal document specifying healthcare preferences for a patient’s treatment.,0.4571,0.2424,0.4,0.0
What is the most common injectable contraceptive?,Depo-Provera is the most common injectable contraceptive and lasts for three months.,Vaginal diaphragm (VDD).,0.0,0.0,0.0,0.0
What are the symptoms of Familial hyperaldosteronism type III ?,"What are the signs and symptoms of Familial hyperaldosteronism type III ? The Human Phenotype Ontology provides the following list of signs and symptoms for Familial hyperaldosteronism type III . If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Hypercalciuria 5% Metabolic acidosis 5% Polydipsia 5% Polyuria 5% Adrenal hyperplasia - Autosomal dominant inheritance - Decreased circulating renin level - Hyperaldosteronism - Hypertension - Hypokalemia - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","What are the signs and symptoms of Familial hyperaldosteronism type III? The Human Phenotype Ontology provides the following list of signs and symptoms for Familial hyperaldosteronism type III. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the adrenal cortex 90% Hypertension 90% Hypertriglyceridemia 90% Hypokalemia 90% Hypoglycemia 50% Hypothyroidism 7.5% Increased serum aldosterone level 7.5% Seizures 7.5% The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom,",0.7453,0.6967,0.717,0.0
What are the symptoms of Metabolic Syndrome ?,"Metabolic syndrome is a group of risk factors that raises your risk for heart disease and other health problems, such as diabetes and stroke. These risk factors can increase your risk for health problems even if they're only moderately raised (borderline-high risk factors).
                
Most of the metabolic risk factors have no signs or symptoms, although a large waistline is a visible sign.
                
Some people may have symptoms of high blood sugar if diabetesespecially type 2 diabetesis present. Symptoms of high blood sugar often include increased thirst; increased urination, especially at night; fatigue (tiredness); and blurred vision.
                
High blood pressure usually has no signs or symptoms. However, some people in the early stages of high blood pressure may have dull headaches, dizzy spells, or more nosebleeds than usual.","Metabolic syndrome is characterized by high blood pressure, high levels of triglycerides (a type of fat), high levels of cholesterol, and excess weight around the waist. The signs and symptoms of metabolic syndrome can vary from person to person. Some people with metabolic syndrome have no symptoms at all. Others may experience one or more of the following: - High blood pressure. - High levels of triglycerides. - High levels of cholesterol. - Excess weight around the waist. - Abnormal blood glucose levels. - Abnormal blood lipids (fats). - Abnormal liver function tests. - Abnormal kidney function tests. - Abnormal thyroid function tests. - Abnormal electrolyte balance. - Abnormal heart rate. - Abnormal blood pressure. - Abnormal blood sugar level. - Abnormal blood lipids. - Abnormal liver function tests. - Abnormal kidney function tests. - Abnormal thyroid function tests. - Abnormal electrolyte balance. - Abnormal heart rate. - Abnormal blood pressure. - Abnormal blood sugar level. - Abnormal blood lipids. - Abnormal liver function tests. - Abnormal kidney function tests. - Abnormal thyroid function tests. - Abnormal electrolyte balance. - Abnormal heart rate. -",0.2947,0.0919,0.1684,0.0
Why is the time of day important in managing aggressive behaviors?,"People with dementia may function better at certain times of the day, typically in the morning.",Time of day affects mood swings and triggers aggression.,0.24,0.087,0.24,0.0
What are irrigation catheters used for?,They are used after prostate surgery to flush the surgical area and prevent blood clot formation.,To remove secretions from the airway of patients with respiratory failure.,0.1481,0.0,0.1481,0.0
Why is maintaining blood pH important?,Blood pH regulates enzyme function and metabolic processes essential for life.,Maintaining acid-base balance prevents organ damage from metabolic acidosis.,0.0952,0.0,0.0952,0.0
What factors determine the route of analgesic administration?,"Factors include nausea, vomiting, and patient preference.","Factors include patient tolerance, drug absorption, and potential side effects.",0.4706,0.1333,0.3529,0.0
Why is teamwork essential in preventing medical errors?,"Collaboration ensures double-checking of critical tasks, improving patient safety and reducing errors.",Teamwork ensures that all team members contribute to the patient’s safety by ensuring everyone follows established protocols.,0.1935,0.0,0.1935,0.0
What factors should an RN consider before delegating interventions?,"Circumstance, person, task, communication, supervision, evaluation, Nurse Practice Act, federal regulations, and agency policy.","Factors include patient safety, cultural considerations, and the effectiveness of the intervention.",0.0769,0.0,0.0769,0.0
What is (are) tubular aggregate myopathy ?,"Tubular aggregate myopathy is a disorder that primarily affects the skeletal muscles, which are muscles the body uses for movement. This disorder causes muscle pain, cramping, or weakness that begins in childhood and worsens over time. The muscles of the lower limbs are most often affected, although the upper limbs can also be involved. Affected individuals can have difficulty running, climbing stairs, or getting up from a squatting position. The weakness may also lead to an unusual walking style (gait). Some people with this condition develop joint deformities (contractures) in the arms and legs. Skeletal muscles are normally made up of two types of fibers, called type I and type II fibers, in approximately equal quantities. Type I fibers, also called slow twitch fibers, are used for long, sustained activity, such as walking long distances. Type II fibers, also known as fast twitch fibers, are used for short bursts of strength, which are needed for activities such as running up stairs or sprinting. In people with tubular aggregate myopathy, type II fibers waste away (atrophy), so affected individuals have mostly type I fibers. In addition, proteins build up abnormally in both type I and type II fibers, forming clumps of tube-like structures called tubular aggregates. Tubular aggregates can occur in other muscle disorders, but they are the primary muscle cell abnormality in tubular aggregate myopathy.","Tubular aggregate myopathy is a condition characterized by progressive muscle weakness that begins in childhood and worsens over time. Affected individuals have weak muscles that do not respond to exercise; they may also experience involuntary twitching of the limbs. The severity of the condition varies among affected people. Some individuals with tubular aggregate myopathy develop signs and symptoms of other conditions such as amyotrophic lateral sclerosis (ALS), Duchenne muscular dystrophy, and Charlems disease. In some cases, tubular aggregate myopathy occurs alone without any associated signs or symptoms.",0.345,0.1415,0.2236,0.0
Why is untreated depression a concern in palliative care?,"It decreases immune response, quality of life, and survival time.","Untreated depression can lead to increased anxiety, agitation, and suicide risk.",0.0952,0.0,0.0952,0.0
"What is the CDER, and what does it do?",The Center for Drug Evaluation and Research (CDER) evaluates new drugs before they can be sold.,The CDER (Centers for Drug Evaluation and Research) evaluates new drugs before they can enter clinical trials.,0.8485,0.6452,0.7879,0.0
How to diagnose Childhood Liver Cancer ?,"Tests that examine the liver and the blood are used to detect (find) and diagnose childhood liver cancer and find out whether the cancer has spread. The following tests and procedures may be used: - Physical exam and history : An exam of the body to check general signs of health, including checking for signs of disease, such as lumps or anything else that seems unusual. A history of the patient's health habits and past illnesses and treatments will also be taken. - Serum tumor marker test : A procedure in which a blood sample is checked to measure the amounts of certain substances released into the blood by organs, tissues, or tumor cells in the body. Certain substances are linked to specific types of cancer when found in increased levels in the blood. These are called tumor markers. The blood of children who have liver cancer may have increased amounts of a hormone called beta-human chorionic gonadotropin (-hCG) or a protein called alpha-fetoprotein (AFP). Other cancers and certain noncancer conditions, including cirrhosis and hepatitis, can also increase AFP levels. - Complete blood count (CBC): A procedure in which a sample of blood is drawn and checked for the following: - The number of red blood cells, white blood cells, and platelets. - The amount of hemoglobin (the protein that carries oxygen) in the red blood cells. - The portion of the blood sample made up of red blood cells. - Liver function tests : A procedure in which a blood sample is checked to measure the amounts of certain substances released into the blood by the liver. A higher than normal amount of a substance can be a sign of liver damage or cancer. - Blood chemistry studies : A procedure in which a blood sample is checked to measure the amounts of certain substances, such as bilirubin or lactate dehydrogenase (LDH), released into the blood by organs and tissues in the body. An unusual (higher or lower than normal) amount of a substance can be a sign of disease. - Epstein-Barr virus (EBV) test: A blood test to check for antibodies to the EBV and DNA markers of the EBV. These are found in the blood of patients who have been infected with EBV. - Hepatitis assay : A procedure in which a blood sample is checked for pieces of the hepatitis virus. - MRI (magnetic resonance imaging) with gadolinium : A procedure that uses a magnet, radio waves, and a computer to make a series of detailed pictures of areas inside the liver. A substance called gadolinium is injected into a vein. The gadolinium collects around the cancer cells so they show up brighter in the picture. This procedure is also called nuclear magnetic resonance imaging (NMRI). - Ultrasound exam: A procedure in which high-energy sound waves (ultrasound) are bounced off internal tissues or organs and make echoes. The echoes form a picture of body tissues called a sonogram. The picture can be printed to be looked at later. In childhood liver cancer, an ultrasound exam of the abdomen to check the large blood vessels is usually done. - CT scan (CAT scan): A procedure that makes a series of detailed pictures of areas inside the body, taken from different angles. The pictures are made by a computer linked to an x-ray machine. A dye may be injected into a vein or swallowed to help the organs or tissues show up more clearly. This procedure is also called computed tomography, computerized tomography, or computerized axial tomography. In childhood liver cancer, a CT scan of the chest and abdomen is usually done. - Abdominal x-ray : An x-ray of the organs in the abdomen. An x-ray is a type of energy beam that can go through the body onto film, making a picture of areas inside the body. - Biopsy : The removal of a sample of cells or tissues so it can be viewed under a microscope to check for signs of cancer. The sample may be taken during surgery to remove or view the tumor. A pathologist looks at the sample under a microscope to find out the type of liver cancer. The following test may be done on the sample of tissue that is removed: - Immunohistochemistry : A test that uses antibodies to check for certain antigens in a sample of tissue. The antibody is usually linked to a radioactive substance or a dye that causes the tissue to light up under a microscope. This type of test is used to check for a certain gene mutation and to tell the difference between different types of cancer.","Tests that examine the liver include - A physical exam by a doctor. The doctor will check for signs of disease such as jaundice (a yellowing of the skin and whites of the eyes), an enlarged liver, and other problems. He or she also may do a blood test to look for certain substances in the blood. - A liver biopsy. This is the most common way to find out if you have cancer. During a biopsy, the doctor inserts a needle into one of your veins and removes a small piece of liver tissue. A pathologist views the tissue under a microscope to look for signs of cancer. - An ultrasound. An ultrasound uses sound waves to create pictures of organs inside the body. For this test, you lie on a table while a technician places a device on your abdomen. The device sends out sound waves that bounce off organs and tissues and return to the device. The sound waves make up echoes. The echo signals are turned into a picture by a computer and sent to a printer. An ultrasound can show whether there are tumors in the liver. - CT scan (CAT scan). A CT scan is a more detailed x-ray procedure than a normal CAT scan. A CT scan uses a combination of x-rays and computer technology to take a series of detailed",0.354,0.1366,0.1892,0.0
What is the difference between a macule and a papule?,"A macule is a flat discoloration, while a papule is a raised bump on the skin.","A macule is a small, flat bump with no underlying tissue; a papule has a raised center surrounded by a reddish halo.",0.5263,0.2778,0.4737,0.0
Why must restraints never be used for staff convenience?,Because it violates patient rights and can cause harm.,To ensure safety and prevent injury to patients.,0.2353,0.0,0.1176,0.0
Why should albuterol be used before inhaled corticosteroids?,To open the airways and enhance steroid absorption,To prevent bronchospasm,0.1818,0.0,0.1818,0.0
What is (are) Empty sella syndrome ?,"Empty sella syndrome (ESS) is a condition that involves the sella turcica, a bony structure at the base of the brain that protects the pituitary gland. There is a primary and secondary form of the condition. The primary form occurs when a structural defect above the pituitary gland increases pressure in the sella turcica and causes the gland to flatten. The secondary form occurs when the pituitary gland is damaged due to injury, a tumor, surgery or radiation therapy. Some people with ESS have no symptoms. People with secondary ESS may have symptoms of decreased pituitary function such as absence of menstruation, infertility, fatigue, and intolerance to stress and infection. In children, ESS may be associated with early onset of puberty, growth hormone deficiency, pituitary tumors, or pituitary gland dysfunction. Treatment focuses on the symptoms present in each person.","Empty sella syndrome is a condition characterized by the absence of the sella turcica, which is the outermost part of the brain that contains the cerebellum. The cerebellum is located at the back of the head and controls balance and coordination. In people with empty sella syndrome, the cerebellum does not develop properly, resulting in impaired movement control. Other features may include developmental delay, seizures, and intellectual disability. This condition is caused by mutations in the SLC12A3 gene and is inherited in an autosomal recessive manner. Treatment is symptomatic and supportive.",0.3565,0.1228,0.2261,0.0
What is (are) Congenital adrenal hyperplasia ?,"Congenital adrenal hyperplasia (CAH) refers to a group of genetic conditions that affect the adrenal glands. These glands sit on top of the kidneys and are responsible for releasing various types of hormones that the body needs to function. Affected people lack an enzyme the adrenal glands need to make one or more of these hormones and often overproduce androgens (male hormones such as testosterone). The signs and symptoms present in each person depend on many factors including the type of CAH, the age of diagnosis, and the sex of the affected person. For example, females with a severe form of the condition may have ambiguous genitalia at birth and if not properly diagnosed, develop dehydration, poor feeding, diarrhea, vomiting and other health problems soon after. People with milder forms may not be diagnosed with the condition until adolescence or adulthood when they experience early signs of puberty or fertility problems. Treatment for CAH varies but may include medication and/or surgery.","Congenital adrenal hyperplasia is a condition that affects the adrenal glands. The adrenal glands are located just below the kidneys and make hormones that regulate many of the body's functions. In people with congenital adrenal hyperplasia, the adrenal glands do not produce enough of these hormones. As a result, the levels of certain hormones in the blood are abnormally high. This can cause symptoms such as - High blood pressure - Fatigue - Muscle weakness - Low blood sugar - Increased risk of infections - Abnormal growth and development in children - An increased risk of developing cancer These symptoms vary from person to person. Some affected individuals have no signs or symptoms at birth; others may develop them later in life. Congenital adrenal hyperplasia is caused by mutations in the CYP19 gene. It is inherited in an autosomal recessive manner. Treatment depends on the severity of the condition and its signs and symptoms.",0.4645,0.1558,0.2774,0.0
Is Rotor syndrome inherited ?,"This condition is inherited in an autosomal recessive pattern. In autosomal recessive inheritance, both copies of a gene in each cell have mutations. In Rotor syndrome, an affected individual must have mutations in both the SLCO1B1 and the SLCO1B3 gene, so both copies of the two genes are altered. The parents of an individual with this condition each carry one altered copy of both genes, but they do not show signs and symptoms of the condition.","This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",0.7559,0.576,0.6614,0.0
When are side rails considered a restraint?,When they are used to prevent a patient from voluntarily getting out of bed or attempting to exit.,Side rails should only be used as an emergency measure when other interventions fail to control the patient’s condition.,0.2105,0.0,0.1579,0.0
What is (are) Snyder-Robinson syndrome ?,"Snyder-Robinson syndrome is an inherited condition that is characterized by intellectual disability, muscle and bone abnormalities, and other problems with development. It only occurs in males. Affected individuals have delayed development that begins in early childhood. Speech difficulties are common. Low muscle tone (hypotonia) and muscle mass leads to difficulty walking and an unsteady gait. Other features include thinning of the bones (osteoporosis), an abnormal curvature of the spine (kyphoscoliosis), and unusual facial features including a prominent lower lip, cleft palate, and facial asymmetry. Snyder-Robinson syndrome is caused by mutations in the SMS gene and is inherited in an X-linked recessive fashion.","Snyder-Robinson syndrome is a rare condition characterized by the presence of multiple facial abnormalities including a large forehead, prominent ears, a broad nose with a prominent bridge, a small chin, a long upper lip, a wide mouth, a protruding tongue, a flat palate, and an abnormally shaped jaw. Affected individuals may also have a distinctive facial appearance due to the development of extra teeth on the lower jaw (cleft maxillary teeth). The features associated with Snyder-Robinson syndrome can vary widely among affected people; however, most cases are mild and do not cause any significant health problems. In some cases, the facial abnormalities can lead to severe hearing loss, which may require cochlear implants for communication. Some affected individuals experience developmental delay, intellectual disability, and behavioral issues. Most people with Snyder-Robinson syndrome have no signs or symptoms at birth. However, many infants with this condition develop hearing loss that improves over time. In addition, some affected individuals may have delayed motor milestones such as sitting, crawling, walking, and feeding. In some cases, the facial abnormalities associated with Snyder-Robinson syndrome can affect other parts of the body, leading to characteristic features such as short stature, eye abnormalities, and heart defects. The severity of these features varies",0.345,0.1158,0.1725,0.0
What should be done if resistance is met during catheter removal?,Stop the procedure and notify the provider immediately.,Stop the procedure immediately to prevent further complications.,0.5,0.2857,0.5,0.0
What causes Urinary Tract Infections in Children ?,"Most UTIs are caused by bacteria that live in the bowel. The bacterium Escherichia coli (E. coli) causes the vast majority of UTIs. The urinary tract has several systems to prevent infection. The points where the ureters attach to the bladder act like one-way valves to prevent urine from backing up, or refluxing, toward the kidneys, and urination washes microbes out of the body. Immune defenses also prevent infection. But despite these safeguards, infections still occur. Certain bacteria have a strong ability to attach themselves to the lining of the urinary tract. Children who often delay urination are more likely to develop UTIs. Regular urination helps keep the urinary tract sterile by flushing away bacteria. Holding in urine allows bacteria to grow. Producing too little urine because of inadequate fluid intake can also increase the risk of developing a UTI. Chronic constipationa condition in which a child has fewer than two bowel movements a weekcan add to the risk of developing a UTI. When the bowel is full of hard stool, it presses against the bladder and bladder neck, blocking the flow of urine and allowing bacteria to grow. Some children develop UTIs because they are prone to such infections, just as other children are prone to getting coughs, colds, or ear infections.","The most common cause of UTIs is bacteria from the stool (the stuff you pass through your anus). Bacteria can also get into the urinary tract by getting onto the skin around the urethra.
                
Bacteria may enter the urinary tract through the urethra, which is the tube that carries urine out of the body. The urethra is located at the bottom of the bladder. The bladder stores urine until it's time to urinate.
                
If the bladder doesn't empty completely, urine collects in the bladder and back up into the urethra. This buildup of urine can irritate the bladder walls and cause irritation and inflammation.
                
In children, the bladder is smaller than in adults. Also, the urethra is shorter and wider than in adults. As a result, bacteria can easily get into the bladder and cause an infection.
                
Other Causes
                
Sometimes, bacteria get into the urinary tract through the vagina. The vagina is a moist area between the vulva (the outside part of the female genitalia) and the rectum (the lower part of the large intestine).
                
A woman who has a sexually transmitted disease (STD), such as gonorrhea or chlamydia, can spread the bacteria to her child during sexual intercourse.",0.4,0.092,0.2024,0.0
What is (are) trimethylaminuria ?,"Trimethylaminuria is a disorder in which the body is unable to break down trimethylamine, a chemical compound that has a pungent odor. Trimethylamine has been described as smelling like rotting fish, rotting eggs, garbage, or urine. As this compound builds up in the body, it causes affected people to give off a strong odor in their sweat, urine, and breath. The intensity of the odor may vary over time. The odor can interfere with many aspects of daily life, affecting a person's relationships, social life, and career. Some people with trimethylaminuria experience depression and social isolation as a result of this condition.","Trimethylaminuria is an inherited condition that causes the body to produce too much of a substance called trimethylamine. Trimethylamine is found naturally in foods such as eggs, meat, fish, dairy products, and some vegetables. The excess trimethylamine can build up in the blood and cause health problems. People with trimethylaminuria have low levels of trimethylamine in their urine. This condition may also affect other organs and tissues, including the kidneys, liver, brain, and heart. Symptoms include nausea, vomiting, headaches, confusion, muscle weakness, and seizures. In severe cases, these symptoms can lead to coma and death. Most people with trimethylaminuria do not have any signs or symptoms of the condition. However, they should be tested for this disorder because it can be difficult to diagnose. Treatment depends on the severity of the condition. Some people with trimethylaminuria require dialysis or kidney transplantation.",0.3852,0.0909,0.2295,0.0
