question,reference,prediction,rouge1,rouge2,rougeL,bleu
What is an advance directive?,An advance directive is a legal document that states a patient’s wishes for treatment in case they become unable to make medical decisions.,A legal document that specifies a person’s healthcare preferences in case they are unable to make decisions.,0.619,0.35,0.619,0.0
What is the most common injectable contraceptive?,Depo-Provera is the most common injectable contraceptive and lasts for three months.,"The birth control shot, Depo-Provera.",0.3158,0.1176,0.2105,0.0
What are the symptoms of Familial hyperaldosteronism type III ?,"What are the signs and symptoms of Familial hyperaldosteronism type III ? The Human Phenotype Ontology provides the following list of signs and symptoms for Familial hyperaldosteronism type III . If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Hypercalciuria 5% Metabolic acidosis 5% Polydipsia 5% Polyuria 5% Adrenal hyperplasia - Autosomal dominant inheritance - Decreased circulating renin level - Hyperaldosteronism - Hypertension - Hypokalemia - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","What are the signs and symptoms of Familial hyperaldosteronism type III? The Human Phenotype Ontology provides the following list of signs and symptoms for Familial hyperaldosteronism type III. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal dominant inheritance - Hypertension - Hyperaldosteronism - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all",0.8552,0.836,0.8506,0.0
What are the symptoms of Metabolic Syndrome ?,"Metabolic syndrome is a group of risk factors that raises your risk for heart disease and other health problems, such as diabetes and stroke. These risk factors can increase your risk for health problems even if they're only moderately raised (borderline-high risk factors).
                
Most of the metabolic risk factors have no signs or symptoms, although a large waistline is a visible sign.
                
Some people may have symptoms of high blood sugar if diabetesespecially type 2 diabetesis present. Symptoms of high blood sugar often include increased thirst; increased urination, especially at night; fatigue (tiredness); and blurred vision.
                
High blood pressure usually has no signs or symptoms. However, some people in the early stages of high blood pressure may have dull headaches, dizzy spells, or more nosebleeds than usual.","Metabolic syndrome has no signs or symptoms. However, the conditions that make up metabolic syndrome can cause signs and symptoms.
                
The signs and symptoms of metabolic syndrome include:
                
Abdominal obesity. This means having extra fat around your waist.
                
High blood pressure.
                
High blood sugar. This means your blood glucose (sugar) level is higher than normal.
                
High triglycerides. These are a type of fat found in the blood.
                
Low HDL cholesterol. This is the good type of cholesterol.
                
The risk of developing metabolic syndrome increases with the number of conditions you have.
                
Metabolic syndrome is a risk factor for heart disease and type 2 diabetes.",0.4893,0.1645,0.1631,0.0
Why is the time of day important in managing aggressive behaviors?,"People with dementia may function better at certain times of the day, typically in the morning.",Some medications are more effective at certain times of the day.,0.4444,0.4,0.4444,0.0
What are irrigation catheters used for?,They are used after prostate surgery to flush the surgical area and prevent blood clot formation.,They are used to flush out wounds and remove debris.,0.4615,0.25,0.4615,0.0
Why is maintaining blood pH important?,Blood pH regulates enzyme function and metabolic processes essential for life.,Blood pH affects enzyme activity and oxygen transport.,0.4211,0.1176,0.4211,0.0
What factors determine the route of analgesic administration?,"Factors include nausea, vomiting, and patient preference.","The severity of pain, patient condition, and drug properties.",0.25,0.0,0.125,0.0
Why is teamwork essential in preventing medical errors?,"Collaboration ensures double-checking of critical tasks, improving patient safety and reducing errors.","Teamwork ensures clear communication, collaboration, and accountability among healthcare professionals.",0.2609,0.0,0.1739,0.0
What factors should an RN consider before delegating interventions?,"Circumstance, person, task, communication, supervision, evaluation, Nurse Practice Act, federal regulations, and agency policy.","The RN should consider the patient’s condition, the delegatee’s competence, and the appropriateness of the intervention.",0.0625,0.0,0.0625,0.0
What is (are) tubular aggregate myopathy ?,"Tubular aggregate myopathy is a disorder that primarily affects the skeletal muscles, which are muscles the body uses for movement. This disorder causes muscle pain, cramping, or weakness that begins in childhood and worsens over time. The muscles of the lower limbs are most often affected, although the upper limbs can also be involved. Affected individuals can have difficulty running, climbing stairs, or getting up from a squatting position. The weakness may also lead to an unusual walking style (gait). Some people with this condition develop joint deformities (contractures) in the arms and legs. Skeletal muscles are normally made up of two types of fibers, called type I and type II fibers, in approximately equal quantities. Type I fibers, also called slow twitch fibers, are used for long, sustained activity, such as walking long distances. Type II fibers, also known as fast twitch fibers, are used for short bursts of strength, which are needed for activities such as running up stairs or sprinting. In people with tubular aggregate myopathy, type II fibers waste away (atrophy), so affected individuals have mostly type I fibers. In addition, proteins build up abnormally in both type I and type II fibers, forming clumps of tube-like structures called tubular aggregates. Tubular aggregates can occur in other muscle disorders, but they are the primary muscle cell abnormality in tubular aggregate myopathy.","Tubular aggregate myopathy is a condition that affects skeletal muscles, which are muscles that the body uses for movement. This condition is characterized by muscle weakness and wasting (atrophy) that begins in infancy or early childhood. The muscle weakness is usually first noticed in the muscles of the face, neck, and upper body. The muscles of the face and neck are used for facial expressions, chewing, swallowing, and speech. Weakness in these muscles can cause drooling, difficulty swallowing, and a weak cry. The muscles of the upper body are used for movement of the arms and hands. Weakness in these muscles can cause difficulty lifting objects, climbing stairs, and walking. The muscle weakness in tubular aggregate myopathy is usually mild, but it can be severe enough to cause difficulty breathing, swallowing, and moving. The muscle weakness is often accompanied by muscle cramps and stiffness (spasticity). The muscle weakness and other signs and symptoms of tubular aggregate myopathy tend to worsen over time.",0.4381,0.1813,0.2732,0.0
Why is untreated depression a concern in palliative care?,"It decreases immune response, quality of life, and survival time.","It can lead to poorer quality of life, increased pain, and decreased ability to cope with illness.",0.4444,0.16,0.3704,0.0
"What is the CDER, and what does it do?",The Center for Drug Evaluation and Research (CDER) evaluates new drugs before they can be sold.,"The CDER is the Center for Drug Evaluation and Research, which evaluates new drugs for safety and effectiveness.",0.6471,0.5,0.5882,0.0
How to diagnose Childhood Liver Cancer ?,"Tests that examine the liver and the blood are used to detect (find) and diagnose childhood liver cancer and find out whether the cancer has spread. The following tests and procedures may be used: - Physical exam and history : An exam of the body to check general signs of health, including checking for signs of disease, such as lumps or anything else that seems unusual. A history of the patient's health habits and past illnesses and treatments will also be taken. - Serum tumor marker test : A procedure in which a blood sample is checked to measure the amounts of certain substances released into the blood by organs, tissues, or tumor cells in the body. Certain substances are linked to specific types of cancer when found in increased levels in the blood. These are called tumor markers. The blood of children who have liver cancer may have increased amounts of a hormone called beta-human chorionic gonadotropin (-hCG) or a protein called alpha-fetoprotein (AFP). Other cancers and certain noncancer conditions, including cirrhosis and hepatitis, can also increase AFP levels. - Complete blood count (CBC): A procedure in which a sample of blood is drawn and checked for the following: - The number of red blood cells, white blood cells, and platelets. - The amount of hemoglobin (the protein that carries oxygen) in the red blood cells. - The portion of the blood sample made up of red blood cells. - Liver function tests : A procedure in which a blood sample is checked to measure the amounts of certain substances released into the blood by the liver. A higher than normal amount of a substance can be a sign of liver damage or cancer. - Blood chemistry studies : A procedure in which a blood sample is checked to measure the amounts of certain substances, such as bilirubin or lactate dehydrogenase (LDH), released into the blood by organs and tissues in the body. An unusual (higher or lower than normal) amount of a substance can be a sign of disease. - Epstein-Barr virus (EBV) test: A blood test to check for antibodies to the EBV and DNA markers of the EBV. These are found in the blood of patients who have been infected with EBV. - Hepatitis assay : A procedure in which a blood sample is checked for pieces of the hepatitis virus. - MRI (magnetic resonance imaging) with gadolinium : A procedure that uses a magnet, radio waves, and a computer to make a series of detailed pictures of areas inside the liver. A substance called gadolinium is injected into a vein. The gadolinium collects around the cancer cells so they show up brighter in the picture. This procedure is also called nuclear magnetic resonance imaging (NMRI). - Ultrasound exam: A procedure in which high-energy sound waves (ultrasound) are bounced off internal tissues or organs and make echoes. The echoes form a picture of body tissues called a sonogram. The picture can be printed to be looked at later. In childhood liver cancer, an ultrasound exam of the abdomen to check the large blood vessels is usually done. - CT scan (CAT scan): A procedure that makes a series of detailed pictures of areas inside the body, taken from different angles. The pictures are made by a computer linked to an x-ray machine. A dye may be injected into a vein or swallowed to help the organs or tissues show up more clearly. This procedure is also called computed tomography, computerized tomography, or computerized axial tomography. In childhood liver cancer, a CT scan of the chest and abdomen is usually done. - Abdominal x-ray : An x-ray of the organs in the abdomen. An x-ray is a type of energy beam that can go through the body onto film, making a picture of areas inside the body. - Biopsy : The removal of a sample of cells or tissues so it can be viewed under a microscope to check for signs of cancer. The sample may be taken during surgery to remove or view the tumor. A pathologist looks at the sample under a microscope to find out the type of liver cancer. The following test may be done on the sample of tissue that is removed: - Immunohistochemistry : A test that uses antibodies to check for certain antigens in a sample of tissue. The antibody is usually linked to a radioactive substance or a dye that causes the tissue to light up under a microscope. This type of test is used to check for a certain gene mutation and to tell the difference between different types of cancer.","Tests that examine the liver and blood are used to detect (find) and diagnose childhood liver cancer. The following tests and procedures may be used: - Physical exam and history : An exam of the body to check general signs of health, including checking for signs of disease, such as lumps or anything else that seems unusual. A history of the patients health habits and past illnesses and treatments will also be taken. - Blood chemistry studies : A procedure in which a blood sample is checked to measure the amounts of certain substances released into the blood by organs and tissues in the body. An unusual (higher or lower than normal) amount of a substance can be a sign of disease. - Liver function tests : A procedure in which a blood sample is checked to measure the amounts of certain substances released into the blood by the liver. An unusual (higher or lower than normal) amount of a substance can be a sign of disease. - Ultrasound exam : A procedure in which high-energy sound waves (ultrasound) are bounced off internal tissues or organs and make echoes. The echoes form a picture of body tissues called a sonogram. An ul",0.4013,0.3789,0.3824,0.0
What is the difference between a macule and a papule?,"A macule is a flat discoloration, while a papule is a raised bump on the skin.","A macule is a flat spot, while a papule is a raised bump.",0.8276,0.7407,0.8276,0.0
Why must restraints never be used for staff convenience?,Because it violates patient rights and can cause harm.,Restraints should only be used when necessary to ensure patient safety.,0.1,0.0,0.1,0.0
Why should albuterol be used before inhaled corticosteroids?,To open the airways and enhance steroid absorption,To enhance the anti-inflammatory effects of corticosteroids.,0.375,0.0,0.25,0.0
What is (are) Empty sella syndrome ?,"Empty sella syndrome (ESS) is a condition that involves the sella turcica, a bony structure at the base of the brain that protects the pituitary gland. There is a primary and secondary form of the condition. The primary form occurs when a structural defect above the pituitary gland increases pressure in the sella turcica and causes the gland to flatten. The secondary form occurs when the pituitary gland is damaged due to injury, a tumor, surgery or radiation therapy. Some people with ESS have no symptoms. People with secondary ESS may have symptoms of decreased pituitary function such as absence of menstruation, infertility, fatigue, and intolerance to stress and infection. In children, ESS may be associated with early onset of puberty, growth hormone deficiency, pituitary tumors, or pituitary gland dysfunction. Treatment focuses on the symptoms present in each person.","Empty sella syndrome is a condition in which the pituitary gland is partially or completely filled with cerebrospinal fluid. The pituitary gland is a pea-sized gland located at the base of the brain. It is responsible for producing hormones that regulate many bodily functions. Empty sella syndrome is usually not associated with any symptoms. However, some people with the condition may experience headaches, vision problems, and/or hormonal imbalances. The cause of empty sella syndrome is unknown. It can be present at birth or develop later in life. Treatment is based on the signs and symptoms present in each person.",0.4583,0.2017,0.275,0.0
What is (are) Congenital adrenal hyperplasia ?,"Congenital adrenal hyperplasia (CAH) refers to a group of genetic conditions that affect the adrenal glands. These glands sit on top of the kidneys and are responsible for releasing various types of hormones that the body needs to function. Affected people lack an enzyme the adrenal glands need to make one or more of these hormones and often overproduce androgens (male hormones such as testosterone). The signs and symptoms present in each person depend on many factors including the type of CAH, the age of diagnosis, and the sex of the affected person. For example, females with a severe form of the condition may have ambiguous genitalia at birth and if not properly diagnosed, develop dehydration, poor feeding, diarrhea, vomiting and other health problems soon after. People with milder forms may not be diagnosed with the condition until adolescence or adulthood when they experience early signs of puberty or fertility problems. Treatment for CAH varies but may include medication and/or surgery.","Congenital adrenal hyperplasia (CAH) is a group of inherited genetic disorders that affect the adrenal glands. The adrenal glands are located on top of each kidney and produce hormones that help regulate many essential functions in the body. CAH is caused by a shortage of one of the enzymes needed for the adrenal glands to produce hormones. The most common form of CAH is caused by a shortage of the enzyme 21-hydroxylase. This enzyme is needed to produce the hormones cortisol and aldosterone. A shortage of this enzyme causes the adrenal glands to produce too much androgen, which is a male sex hormone. The excess androgen can cause a variety of health problems, including ambiguous genitalia in females, early puberty in males, and infertility in both males and females. CAH is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry",0.4815,0.1553,0.2778,0.0
Is Rotor syndrome inherited ?,"This condition is inherited in an autosomal recessive pattern. In autosomal recessive inheritance, both copies of a gene in each cell have mutations. In Rotor syndrome, an affected individual must have mutations in both the SLCO1B1 and the SLCO1B3 gene, so both copies of the two genes are altered. The parents of an individual with this condition each carry one altered copy of both genes, but they do not show signs and symptoms of the condition.","How is Rotor syndrome inherited? Rotor syndrome is inherited in an autosomal recessive manner. This means that to be affected, a person must have a mutation in both copies of the responsible gene in each cell. The parents of an affected person usually each carry one mutated copy of the gene and are referred to as carriers. Carriers typically do not show signs or symptoms of the condition. When two carriers of an autosomal recessive condition have children, each child has a 25% (1 in 4) risk to have the condition, a 50% (1 in 2) risk to be a carrier like each of the parents, and a 25% chance to not have the condition and not be a carrier.",0.5918,0.299,0.3469,0.0
When are side rails considered a restraint?,When they are used to prevent a patient from voluntarily getting out of bed or attempting to exit.,"When they are used to prevent a patient from leaving the bed, they are considered a restraint.",0.5714,0.4848,0.5714,0.0
What is (are) Snyder-Robinson syndrome ?,"Snyder-Robinson syndrome is an inherited condition that is characterized by intellectual disability, muscle and bone abnormalities, and other problems with development. It only occurs in males. Affected individuals have delayed development that begins in early childhood. Speech difficulties are common. Low muscle tone (hypotonia) and muscle mass leads to difficulty walking and an unsteady gait. Other features include thinning of the bones (osteoporosis), an abnormal curvature of the spine (kyphoscoliosis), and unusual facial features including a prominent lower lip, cleft palate, and facial asymmetry. Snyder-Robinson syndrome is caused by mutations in the SMS gene and is inherited in an X-linked recessive fashion.","Snyder-Robinson syndrome is a rare condition that affects many parts of the body. It is characterized by intellectual disability, delayed development of motor skills, and distinctive facial features. People with Snyder-Robinson syndrome have a small head size (microcephaly) and a prominent forehead. They also have a broad nasal bridge, a flat nasal tip, and a short nose. The eyes are widely spaced (hypertelorism), and the eyelids are thick and droopy (ptosis). The eyebrows and eyelashes are sparse. The ears are small and set low on the head. The mouth is small, and the lower jaw is underdeveloped (micrognathia). The teeth are small and crowded. The fingers and toes are short and broad, and the nails are thick and ridged. People with Snyder-Robinson syndrome have a short stature and a narrow chest. They have a small, rounded belly (protruding abdomen) and a short umbilical cord. The skin is thin and translucent, and the hair is sparse and curly.",0.317,0.1065,0.2113,0.0
What should be done if resistance is met during catheter removal?,Stop the procedure and notify the provider immediately.,Stop and notify the provider immediately.,0.8571,0.6667,0.8571,0.0
What causes Urinary Tract Infections in Children ?,"Most UTIs are caused by bacteria that live in the bowel. The bacterium Escherichia coli (E. coli) causes the vast majority of UTIs. The urinary tract has several systems to prevent infection. The points where the ureters attach to the bladder act like one-way valves to prevent urine from backing up, or refluxing, toward the kidneys, and urination washes microbes out of the body. Immune defenses also prevent infection. But despite these safeguards, infections still occur. Certain bacteria have a strong ability to attach themselves to the lining of the urinary tract. Children who often delay urination are more likely to develop UTIs. Regular urination helps keep the urinary tract sterile by flushing away bacteria. Holding in urine allows bacteria to grow. Producing too little urine because of inadequate fluid intake can also increase the risk of developing a UTI. Chronic constipationa condition in which a child has fewer than two bowel movements a weekcan add to the risk of developing a UTI. When the bowel is full of hard stool, it presses against the bladder and bladder neck, blocking the flow of urine and allowing bacteria to grow. Some children develop UTIs because they are prone to such infections, just as other children are prone to getting coughs, colds, or ear infections.","Urinary tract infections (UTIs) are caused by bacteria that enter the urinary tract. The urinary tract is the bodys system for making, storing, and removing urine. The urinary tract includes the two kidneys, two ureters, the bladder, and the urethra. The kidneys filter wastes and extra water from the blood to make urine. The urine flows from the kidneys to the bladder through tubes called ureters. The bladder stores urine until releasing it through the urethra. The urethra is the tubes that carry urine out of the body. In girls, the urethra is short and close to the anus. In boys, the urethra is longer and closer to the penis. Bacteria that cause UTIs are usually found in the bowel. They can get into the urinary tract through the urethra. The bacteria can then travel up the ureters to the bladder. The bacteria can also get into the urinary tract through the bloodstream. This is less common.",0.3881,0.1355,0.2318,0.0
What is (are) trimethylaminuria ?,"Trimethylaminuria is a disorder in which the body is unable to break down trimethylamine, a chemical compound that has a pungent odor. Trimethylamine has been described as smelling like rotting fish, rotting eggs, garbage, or urine. As this compound builds up in the body, it causes affected people to give off a strong odor in their sweat, urine, and breath. The intensity of the odor may vary over time. The odor can interfere with many aspects of daily life, affecting a person's relationships, social life, and career. Some people with trimethylaminuria experience depression and social isolation as a result of this condition.","Trimethylaminuria is a condition that causes a strong body odor. The odor is caused by an excess of trimethylamine, a chemical that is produced during digestion. The odor is often described as fishy or sweaty. People with trimethylaminuria have a condition called trimethylaminuria, which is characterized by the production of excess trimethylamine. The condition is also known as fish odor syndrome or trimethylaminuria. The odor is caused by a deficiency of an enzyme called trimethylamine-N-oxide reductase. This enzyme is involved in the breakdown of trimethylamine. The condition is inherited in an autosomal recessive pattern.",0.402,0.1117,0.2513,0.0
are there complications from botulism?,"Botulism can result in death due to respiratory failure. However, in the past 50 years the proportion of patients with botulism who die has fallen from about 50% to 3-5%. A patient with severe botulism may require a breathing machine as well as intensive medical and nursing care for several months, and some patients die from infections or other problems related to remaining paralyzed for weeks or months. Patients who survive an episode of botulism poisoning may have fatigue and shortness of breath for years and long-term therapy may be needed to aid recovery.","Yes. Botulism can cause paralysis, respiratory failure, and death.",0.1143,0.0388,0.0952,0.0
What should be done if a patient misses a dose of tetracycline?,Take it as soon as possible unless it is close to the next dose; do not double up.,"Take it as soon as remembered, unless it is close to the next dose.",0.8125,0.7333,0.8125,0.0
What is a scar?,A scar is collagen-rich skin formed during the wound healing process.,A scar is a permanent mark left on the skin after a wound heals.,0.5385,0.25,0.4615,0.0
What dietary recommendations help prevent pressure injuries?,"A balanced diet rich in protein, fluids, and essential nutrients to promote skin integrity and healing.","Adequate protein intake, hydration, and nutrient-rich foods.",0.3333,0.0,0.25,0.0
How many people are affected by myoclonic epilepsy myopathy sensory ataxia ?,The prevalence of myoclonic epilepsy myopathy sensory ataxia is unknown.,The prevalence of MEMSA is unknown. This condition has been reported in several families.,0.4167,0.2727,0.4167,0.0
How should the stoma be cleaned?,"Using sterile gauze and saline, wiping in a circular motion outward from the stoma.","Use a soft, moistened cloth or wipe to gently clean the stoma.",0.3846,0.0833,0.3077,0.0
