question,reference,prediction,rouge1,rouge2,rougeL,bleu
What are the two main types of nursing care?,Direct care and indirect care.,Direct care and indirect care.,1.0,1.0,1.0,0.0
What are the symptoms of Spastic paraplegia 2 ?,"What are the signs and symptoms of Spastic paraplegia 2? The Human Phenotype Ontology provides the following list of signs and symptoms for Spastic paraplegia 2. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Gait disturbance 90% Hyperreflexia 90% Muscle weakness 90% Abnormal renal physiology 50% Abnormality of extrapyramidal motor function 50% Bowel incontinence 50% Cognitive impairment 50% Optic atrophy 50% Incoordination 7.5% Limitation of joint mobility 7.5% Neurological speech impairment 7.5% Nystagmus 7.5% Pulmonary embolism 7.5% Recurrent respiratory infections 7.5% Babinski sign - Degeneration of the lateral corticospinal tracts - Dysarthria - Dysmetria - Flexion contracture - Intellectual disability - Juvenile onset - Lower limb muscle weakness - Lower limb spasticity - Pes cavus - Phenotypic variability - Skeletal muscle atrophy - Spastic gait - Spastic paraparesis - Spastic paraplegia - Spinocerebellar tract degeneration - X-linked recessive inheritance - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","What are the signs and symptoms of Spastic paraplegia 2? The Human Phenotype Ontology provides the following list of signs and symptoms for Spastic paraplegia 2. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal dominant inheritance - Babinski sign - Babinski reflex - Cerebral atrophy - Decreased nerve conduction velocity - Decreased number of peripheral myelinated nerve fibers - Dysarthria - Dysmetria - Dysphagia - Gait ataxia - Hyperreflexia - Hypertonia - Hyporeflexia - Intellectual disability - Limb muscle weakness - Lower limb spasticity - Lower limb weakness - Nystagmus - Optic atrophy - Optic disc pallor - Optic nerve atrophy - Progressive - Progressive spastic paraplegia - Spastic gait - Spastic paraparesis - Spastic tetraplegia - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate",0.5847,0.5263,0.5444,0.0
Why should nurses limit the number of suction passes per session?,To reduce the risk of hypoxia and airway trauma.,To prevent airway irritation and maintain patient comfort.,0.3529,0.0,0.2353,0.0
What is an advance directive?,An advance directive is a legal document that states a patient’s wishes for treatment in case they become unable to make medical decisions.,A legal document that outlines a person’s health care preferences if they become unable to communicate.,0.4878,0.3077,0.4878,0.0
What is the most common injectable contraceptive?,Depo-Provera is the most common injectable contraceptive and lasts for three months.,Depo-Provera (medroxyprogesterone acetate).,0.2353,0.1333,0.2353,0.0
What are the symptoms of Familial hyperaldosteronism type III ?,"What are the signs and symptoms of Familial hyperaldosteronism type III ? The Human Phenotype Ontology provides the following list of signs and symptoms for Familial hyperaldosteronism type III . If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Hypercalciuria 5% Metabolic acidosis 5% Polydipsia 5% Polyuria 5% Adrenal hyperplasia - Autosomal dominant inheritance - Decreased circulating renin level - Hyperaldosteronism - Hypertension - Hypokalemia - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","What are the signs and symptoms of Familial hyperaldosteronism type III? The Human Phenotype Ontology provides the following list of signs and symptoms for Familial hyperaldosteronism type III. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal dominant inheritance - Hyperaldosteronism - Hypokalemia - Hypokalemic metabolic alkalosis - Hypokalemic periodic paralysis - Hypokalemic tetany - Hypokalemic tremor - Hypokalemic tetany - Hypokalemic tetany - Hypokalemic tetany - Hypokalemic tetany - Hypokalemic tetany - Hypokalemic tetany - Hypokalemic tetany - Hypokalemic tetany - Hypokalemic tetany - Hypokalemic tetany - Hypokalemic tetany - Hypokalemic tetany - Hypokalemic tetany - Hypokalemic tetany - Hypokalemic tetany - Hypokalemic tetany - Hypokalemic tetany - Hypokalemic tetany - Hypokalemic tetany - Hypokalemic tetany - Hypokalemic tet",0.4169,0.3926,0.4116,0.0
What are the symptoms of Metabolic Syndrome ?,"Metabolic syndrome is a group of risk factors that raises your risk for heart disease and other health problems, such as diabetes and stroke. These risk factors can increase your risk for health problems even if they're only moderately raised (borderline-high risk factors).
                
Most of the metabolic risk factors have no signs or symptoms, although a large waistline is a visible sign.
                
Some people may have symptoms of high blood sugar if diabetesespecially type 2 diabetesis present. Symptoms of high blood sugar often include increased thirst; increased urination, especially at night; fatigue (tiredness); and blurred vision.
                
High blood pressure usually has no signs or symptoms. However, some people in the early stages of high blood pressure may have dull headaches, dizzy spells, or more nosebleeds than usual.",Metabolic syndrome is a group of risk factors for heart disease and diabetes. The risk factors include - high blood pressure - high blood sugar - high levels of triglycerides - low levels of high-density lipoproteins (HDL) - large waistline - high levels of abdominal fat - high levels of insulin - high levels of C-reactive protein (CRP) - high levels of homocysteine - high levels of uric acid - high levels of blood clotting factors - high levels of cholesterol - high levels of non-HDL cholesterol - high levels of LDL cholesterol - high levels of LDL particle number - high levels of LDL particle size - high levels of LDL particle number - high levels of LDL particle size - high levels of LDL particle number - high levels of LDL particle size - high levels of LDL particle number - high levels of LDL particle size - high levels of LDL particle number - high levels of LDL particle size - high levels of LDL particle number - high levels of LDL particle size - high levels of LDL particle number - high levels of LDL particle size - high levels of LDL particle number - high levels of LDL particle size - high levels of LDL particle number - high levels of LDL particle size - high levels of LDL particle number - high levels of LDL particle size - high levels of LDL particle number -,0.2018,0.1015,0.1602,0.0
Why is the time of day important in managing aggressive behaviors?,"People with dementia may function better at certain times of the day, typically in the morning.","Some individuals may exhibit aggression at specific times, such as during the morning or evening.",0.3226,0.069,0.3226,0.0
What are irrigation catheters used for?,They are used after prostate surgery to flush the surgical area and prevent blood clot formation.,To flush the urinary tract and remove residual urine.,0.32,0.1739,0.32,0.0
Why is maintaining blood pH important?,Blood pH regulates enzyme function and metabolic processes essential for life.,Blood pH affects enzyme activity and cellular function.,0.5263,0.1176,0.4211,0.0
What factors determine the route of analgesic administration?,"Factors include nausea, vomiting, and patient preference.","Route depends on the drug, patient condition, and medical needs.",0.2353,0.0,0.1176,0.0
Why is teamwork essential in preventing medical errors?,"Collaboration ensures double-checking of critical tasks, improving patient safety and reducing errors.",Teamwork ensures that all members are aware of the patient’s condition and can contribute to safe care.,0.2581,0.0,0.2581,0.0
What factors should an RN consider before delegating interventions?,"Circumstance, person, task, communication, supervision, evaluation, Nurse Practice Act, federal regulations, and agency policy.","The RN should consider the patient’s condition, the delegation policy, and the ability of the delegatee to perform the task safely.",0.1667,0.0,0.0556,0.0
What is (are) tubular aggregate myopathy ?,"Tubular aggregate myopathy is a disorder that primarily affects the skeletal muscles, which are muscles the body uses for movement. This disorder causes muscle pain, cramping, or weakness that begins in childhood and worsens over time. The muscles of the lower limbs are most often affected, although the upper limbs can also be involved. Affected individuals can have difficulty running, climbing stairs, or getting up from a squatting position. The weakness may also lead to an unusual walking style (gait). Some people with this condition develop joint deformities (contractures) in the arms and legs. Skeletal muscles are normally made up of two types of fibers, called type I and type II fibers, in approximately equal quantities. Type I fibers, also called slow twitch fibers, are used for long, sustained activity, such as walking long distances. Type II fibers, also known as fast twitch fibers, are used for short bursts of strength, which are needed for activities such as running up stairs or sprinting. In people with tubular aggregate myopathy, type II fibers waste away (atrophy), so affected individuals have mostly type I fibers. In addition, proteins build up abnormally in both type I and type II fibers, forming clumps of tube-like structures called tubular aggregates. Tubular aggregates can occur in other muscle disorders, but they are the primary muscle cell abnormality in tubular aggregate myopathy.","Tubular aggregate myopathy is a condition that affects skeletal muscles, which are muscles that the body uses for movement. This condition is characterized by muscle weakness and wasting (atrophy) that begins in infancy or early childhood. The muscle weakness is usually most severe in the muscles of the face, neck, and trunk. Affected individuals may have difficulty swallowing, breathing, and speaking. Tubular aggregate myopathy is also associated with a buildup of abnormal protein deposits in muscle cells. These deposits are called tubular aggregates. The tubular aggregates are made up of a protein called desmin, which is normally found in muscle cells. The desmin protein is important for the normal structure and function of muscle cells. Tubular aggregates are found in muscle cells throughout the body, but they are most numerous in the skeletal muscles. The tubular aggregates are thought to interfere with the normal function of muscle cells, which leads to muscle weakness and wasting. Tubular aggregate myopathy is caused by mutations in the DES gene and is inherited in an autosomal dominant pattern.",0.495,0.196,0.295,0.0
Why is untreated depression a concern in palliative care?,"It decreases immune response, quality of life, and survival time.",Depression can worsen symptoms and reduce quality of life.,0.4211,0.2353,0.3158,0.0
"What is the CDER, and what does it do?",The Center for Drug Evaluation and Research (CDER) evaluates new drugs before they can be sold.,"CDER is the Center for Drug Evaluation and Research, which evaluates and approves drugs for safety and effectiveness.",0.5882,0.375,0.5294,0.0
How to diagnose Childhood Liver Cancer ?,"Tests that examine the liver and the blood are used to detect (find) and diagnose childhood liver cancer and find out whether the cancer has spread. The following tests and procedures may be used: - Physical exam and history : An exam of the body to check general signs of health, including checking for signs of disease, such as lumps or anything else that seems unusual. A history of the patient's health habits and past illnesses and treatments will also be taken. - Serum tumor marker test : A procedure in which a blood sample is checked to measure the amounts of certain substances released into the blood by organs, tissues, or tumor cells in the body. Certain substances are linked to specific types of cancer when found in increased levels in the blood. These are called tumor markers. The blood of children who have liver cancer may have increased amounts of a hormone called beta-human chorionic gonadotropin (-hCG) or a protein called alpha-fetoprotein (AFP). Other cancers and certain noncancer conditions, including cirrhosis and hepatitis, can also increase AFP levels. - Complete blood count (CBC): A procedure in which a sample of blood is drawn and checked for the following: - The number of red blood cells, white blood cells, and platelets. - The amount of hemoglobin (the protein that carries oxygen) in the red blood cells. - The portion of the blood sample made up of red blood cells. - Liver function tests : A procedure in which a blood sample is checked to measure the amounts of certain substances released into the blood by the liver. A higher than normal amount of a substance can be a sign of liver damage or cancer. - Blood chemistry studies : A procedure in which a blood sample is checked to measure the amounts of certain substances, such as bilirubin or lactate dehydrogenase (LDH), released into the blood by organs and tissues in the body. An unusual (higher or lower than normal) amount of a substance can be a sign of disease. - Epstein-Barr virus (EBV) test: A blood test to check for antibodies to the EBV and DNA markers of the EBV. These are found in the blood of patients who have been infected with EBV. - Hepatitis assay : A procedure in which a blood sample is checked for pieces of the hepatitis virus. - MRI (magnetic resonance imaging) with gadolinium : A procedure that uses a magnet, radio waves, and a computer to make a series of detailed pictures of areas inside the liver. A substance called gadolinium is injected into a vein. The gadolinium collects around the cancer cells so they show up brighter in the picture. This procedure is also called nuclear magnetic resonance imaging (NMRI). - Ultrasound exam: A procedure in which high-energy sound waves (ultrasound) are bounced off internal tissues or organs and make echoes. The echoes form a picture of body tissues called a sonogram. The picture can be printed to be looked at later. In childhood liver cancer, an ultrasound exam of the abdomen to check the large blood vessels is usually done. - CT scan (CAT scan): A procedure that makes a series of detailed pictures of areas inside the body, taken from different angles. The pictures are made by a computer linked to an x-ray machine. A dye may be injected into a vein or swallowed to help the organs or tissues show up more clearly. This procedure is also called computed tomography, computerized tomography, or computerized axial tomography. In childhood liver cancer, a CT scan of the chest and abdomen is usually done. - Abdominal x-ray : An x-ray of the organs in the abdomen. An x-ray is a type of energy beam that can go through the body onto film, making a picture of areas inside the body. - Biopsy : The removal of a sample of cells or tissues so it can be viewed under a microscope to check for signs of cancer. The sample may be taken during surgery to remove or view the tumor. A pathologist looks at the sample under a microscope to find out the type of liver cancer. The following test may be done on the sample of tissue that is removed: - Immunohistochemistry : A test that uses antibodies to check for certain antigens in a sample of tissue. The antibody is usually linked to a radioactive substance or a dye that causes the tissue to light up under a microscope. This type of test is used to check for a certain gene mutation and to tell the difference between different types of cancer.","Tests that examine the liver are used to detect (find) and diagnose childhood liver cancer. The following tests and procedures may be used: - Physical exam and history : An exam of the body to check general signs of health, including checking for signs of disease, such as lumps or anything else that seems unusual. A history of the patients health habits and past illnesses and treatments will also be taken. - Blood chemistry studies : A procedure in which a blood sample is checked to measure the amounts of certain substances released into the blood by organs and tissues in the body. An unusual (higher or lower than normal) amount of a substance can be a sign of disease. - Imaging tests : Tests that create pictures of the liver and other organs and tissues. These tests are used to find out if there are any tumors in the liver. - Ultrasound exam : A procedure in which high-energy sound waves (ultrasound) are bounced off internal tissues or organs and make echoes. The echoes form a picture of body tissues called a sonogram. This procedure is also called sonography or echography. - CT scan (CAT scan): A procedure that makes a series of detailed pictures of areas inside the body, such as the liver, taken from different angles. The pictures are made by a",0.4333,0.3786,0.384,0.0
What is the difference between a macule and a papule?,"A macule is a flat discoloration, while a papule is a raised bump on the skin.","A macule is a flat, nonpalpable area of color change, while a papule is a small, raised bump.",0.7059,0.5625,0.7059,0.0
Why must restraints never be used for staff convenience?,Because it violates patient rights and can cause harm.,Restraints should only be used when necessary and for the patient’s safety.,0.1818,0.0,0.0909,0.0
Why should albuterol be used before inhaled corticosteroids?,To open the airways and enhance steroid absorption,To prevent bronchoconstriction and improve lung function.,0.2667,0.0,0.2667,0.0
What is (are) Empty sella syndrome ?,"Empty sella syndrome (ESS) is a condition that involves the sella turcica, a bony structure at the base of the brain that protects the pituitary gland. There is a primary and secondary form of the condition. The primary form occurs when a structural defect above the pituitary gland increases pressure in the sella turcica and causes the gland to flatten. The secondary form occurs when the pituitary gland is damaged due to injury, a tumor, surgery or radiation therapy. Some people with ESS have no symptoms. People with secondary ESS may have symptoms of decreased pituitary function such as absence of menstruation, infertility, fatigue, and intolerance to stress and infection. In children, ESS may be associated with early onset of puberty, growth hormone deficiency, pituitary tumors, or pituitary gland dysfunction. Treatment focuses on the symptoms present in each person.","Empty sella syndrome is a condition in which the sella turcica, a bony structure in the brain that contains the pituitary gland, is abnormally empty. The pituitary gland is a pea-sized gland located at the base of the brain. It is responsible for the production of many hormones that control many important functions in the body. Empty sella syndrome is characterized by a lack of pituitary hormones, which can lead to a variety of signs and symptoms. The most common symptoms of empty sella syndrome are short stature, delayed puberty, and infertility. Other signs and symptoms may include headaches, vision problems, and a lack of energy. Empty sella syndrome is usually caused by a pituitary tumor that has been surgically removed.",0.4674,0.1853,0.2912,0.0
What is (are) Congenital adrenal hyperplasia ?,"Congenital adrenal hyperplasia (CAH) refers to a group of genetic conditions that affect the adrenal glands. These glands sit on top of the kidneys and are responsible for releasing various types of hormones that the body needs to function. Affected people lack an enzyme the adrenal glands need to make one or more of these hormones and often overproduce androgens (male hormones such as testosterone). The signs and symptoms present in each person depend on many factors including the type of CAH, the age of diagnosis, and the sex of the affected person. For example, females with a severe form of the condition may have ambiguous genitalia at birth and if not properly diagnosed, develop dehydration, poor feeding, diarrhea, vomiting and other health problems soon after. People with milder forms may not be diagnosed with the condition until adolescence or adulthood when they experience early signs of puberty or fertility problems. Treatment for CAH varies but may include medication and/or surgery.","Congenital adrenal hyperplasia (CAH) is a group of genetic disorders that affect the adrenal glands. The adrenal glands are a pair of small glands located on top of each kidney. They produce hormones that help regulate many important body functions, including blood pressure, body temperature, and the way the body reacts to stress. CAH is caused by a shortage of a hormone called cortisol. CAH is divided into two types: 21-hydroxylase deficiency and 11-beta hydroxylase deficiency. CAH is inherited in an autosomal recessive pattern. Treatment includes hormone replacement therapy.",0.3715,0.1355,0.2451,0.0
Is Rotor syndrome inherited ?,"This condition is inherited in an autosomal recessive pattern. In autosomal recessive inheritance, both copies of a gene in each cell have mutations. In Rotor syndrome, an affected individual must have mutations in both the SLCO1B1 and the SLCO1B3 gene, so both copies of the two genes are altered. The parents of an individual with this condition each carry one altered copy of both genes, but they do not show signs and symptoms of the condition.","This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",0.7559,0.576,0.6614,0.0
When are side rails considered a restraint?,When they are used to prevent a patient from voluntarily getting out of bed or attempting to exit.,If they restrict movement or prevent the patient from getting out of bed.,0.5806,0.2759,0.5161,0.0
What is (are) Snyder-Robinson syndrome ?,"Snyder-Robinson syndrome is an inherited condition that is characterized by intellectual disability, muscle and bone abnormalities, and other problems with development. It only occurs in males. Affected individuals have delayed development that begins in early childhood. Speech difficulties are common. Low muscle tone (hypotonia) and muscle mass leads to difficulty walking and an unsteady gait. Other features include thinning of the bones (osteoporosis), an abnormal curvature of the spine (kyphoscoliosis), and unusual facial features including a prominent lower lip, cleft palate, and facial asymmetry. Snyder-Robinson syndrome is caused by mutations in the SMS gene and is inherited in an X-linked recessive fashion.","Snyder-Robinson syndrome is a condition characterized by intellectual disability, distinctive facial features, and other physical abnormalities. The signs and symptoms of this condition vary widely among affected individuals. Intellectual disability is the most common feature of Snyder-Robinson syndrome. Affected individuals have an average IQ of 50 to 70, which is considered mild to moderate. Some people with this condition have a normal IQ. Other features of Snyder-Robinson syndrome include distinctive facial features, including a broad forehead, a prominent nose, and a small chin. Affected individuals may also have a small mouth, a small lower jaw, and a small lower lip. Other physical abnormalities associated with Snyder-Robinson syndrome include short stature, a small head (microcephaly), and a small, webbed neck. Some affected individuals have a small, triangular face. Some people with Snyder-Robinson syndrome have a condition called a cleft palate, which is a split in the roof of the mouth. Other features of Snyder-Robinson syndrome include a small, narrow chest (pectus carinatum), a small, narrow waist (pectus excavatum), and a small, narrow pelvis (pectus excavatum). Some affected individuals have a condition called a clinodactyly, which is a bend in the fifth finger",0.3377,0.1333,0.2384,0.0
What should be done if resistance is met during catheter removal?,Stop the procedure and notify the provider immediately.,"Stop, assess, and notify the provider if necessary.",0.625,0.4286,0.625,0.0
What causes Urinary Tract Infections in Children ?,"Most UTIs are caused by bacteria that live in the bowel. The bacterium Escherichia coli (E. coli) causes the vast majority of UTIs. The urinary tract has several systems to prevent infection. The points where the ureters attach to the bladder act like one-way valves to prevent urine from backing up, or refluxing, toward the kidneys, and urination washes microbes out of the body. Immune defenses also prevent infection. But despite these safeguards, infections still occur. Certain bacteria have a strong ability to attach themselves to the lining of the urinary tract. Children who often delay urination are more likely to develop UTIs. Regular urination helps keep the urinary tract sterile by flushing away bacteria. Holding in urine allows bacteria to grow. Producing too little urine because of inadequate fluid intake can also increase the risk of developing a UTI. Chronic constipationa condition in which a child has fewer than two bowel movements a weekcan add to the risk of developing a UTI. When the bowel is full of hard stool, it presses against the bladder and bladder neck, blocking the flow of urine and allowing bacteria to grow. Some children develop UTIs because they are prone to such infections, just as other children are prone to getting coughs, colds, or ear infections.","The most common cause of UTIs in children is bacteria. Bacteria are tiny, one-celled organisms that normally live in the environment. Some bacteria are harmful and cause infections. The bacteria that cause UTIs are found in the bowel, and they can enter the urinary tract through the urethra. The bacteria multiply in the bladder and can cause a UTI.",0.3139,0.0882,0.1606,0.0
What is (are) trimethylaminuria ?,"Trimethylaminuria is a disorder in which the body is unable to break down trimethylamine, a chemical compound that has a pungent odor. Trimethylamine has been described as smelling like rotting fish, rotting eggs, garbage, or urine. As this compound builds up in the body, it causes affected people to give off a strong odor in their sweat, urine, and breath. The intensity of the odor may vary over time. The odor can interfere with many aspects of daily life, affecting a person's relationships, social life, and career. Some people with trimethylaminuria experience depression and social isolation as a result of this condition.","Trimethylaminuria is a condition that causes a strong, unpleasant odor in the breath, sweat, and urine. The odor is caused by the body's inability to break down a compound called trimethylamine. Trimethylamine is found in many foods, including fish, shellfish, and aged cheese. The odor is usually not noticeable in people with trimethylaminuria unless they eat foods that contain trimethylamine. Trimethylaminuria is caused by mutations in the FMO3 gene. It is inherited in an autosomal recessive pattern.",0.442,0.1341,0.2099,0.0
are there complications from botulism?,"Botulism can result in death due to respiratory failure. However, in the past 50 years the proportion of patients with botulism who die has fallen from about 50% to 3-5%. A patient with severe botulism may require a breathing machine as well as intensive medical and nursing care for several months, and some patients die from infections or other problems related to remaining paralyzed for weeks or months. Patients who survive an episode of botulism poisoning may have fatigue and shortness of breath for years and long-term therapy may be needed to aid recovery.","Complications from botulism include respiratory failure, paralysis, and death.",0.1143,0.0194,0.0762,0.0
